originalNameUsageID,genus,taxonID,parentNameUsageID,acceptedNameUsageID,datasetID,taxonomicStatus,taxonRank,scientificName,specificEpithet,infraspecificEpithet,nameAccordingTo,namePublishedIn,nomenclaturalCode,nomenclaturalStatus,taxonRemarks,dcterms:references
,Plocopsylla,121890,xGG,,,ACCEPTED,SPECIES,"Plocopsylla diana Beaucournu, Gallardo & Launay, 1986",diana,,,,ICZN,,,
,Plocopsylla,121900,xGG,,,ACCEPTED,SPECIES,"Plocopsylla enderleini Wagner, 1933",enderleini,,,,ICZN,,,
,Plocopsylla,121870,xGG,,,ACCEPTED,SPECIES,"Plocopsylla consobrina Beaucournu & Alcover, 1990",consobrina,,,,ICZN,,,
,Plocopsylla,121880,xGG,,,ACCEPTED,SPECIES,"Plocopsylla crypta Beaucournu & Gallardo, 1989",crypta,,,,ICZN,,,
,Plocopsylla,121850,xGG,,,ACCEPTED,SPECIES,"Plocopsylla athena Schramm & Lewis, 1987",athena,,,,ICZN,,,
,Plocopsylla,121860,xGG,,,ACCEPTED,SPECIES,"Plocopsylla chiris (Jordan, 1931)",chiris,,,,ICZN,,,
,Plocopsylla,121830,xGG,,,ACCEPTED,SPECIES,"Plocopsylla achilles (Rothschild, 1911)",achilles,,,,ICZN,,,
,Plocopsylla,121840,xGG,,,ACCEPTED,SPECIES,"Plocopsylla angusticeps Mahnert, 1982",angusticeps,,,,ICZN,,,
,Plocopsylla,122100,xGG,,,ACCEPTED,SPECIES,"Plocopsylla wolffsohni (Rothschild, 1909)",wolffsohni,,,,ICZN,,,
,Plocopsylla,122090,xGG,,,ACCEPTED,SPECIES,"Plocopsylla wilesi Beaucournu & Kelt, 1990",wilesi,,,,ICZN,,,
,Plocopsylla,122070,xGG,,,ACCEPTED,SPECIES,"Plocopsylla ulysses Hopkins, 1951",ulysses,,,,ICZN,,,
,Plocopsylla,122080,xGG,,,ACCEPTED,SPECIES,"Plocopsylla viracocha Schramm & Lewis, 1987",viracocha,,,,ICZN,,,
,Plocopsylla,122060,xGG,,,ACCEPTED,SPECIES,"Plocopsylla traubi Del Ponte, 1968",traubi,,,,ICZN,,,
,Plocopsylla,122050,xGG,,,ACCEPTED,SPECIES,"Plocopsylla thor Johnson, 1957",thor,,,,ICZN,,,
,Plocopsylla,122040,xGG,,,ACCEPTED,SPECIES,"Plocopsylla silewi Beaucournu & Kelt, 1990",silewi,,,,ICZN,,,
,Plocopsylla,122030,xGG,,,ACCEPTED,SPECIES,"Plocopsylla scotinomi Tipton & Mendez, 1966",scotinomi,,,,ICZN,,,
,Plocopsylla,122020,xGG,,,ACCEPTED,SPECIES,"Plocopsylla reigi Beaucournu & Gallardo, 1978",reigi,,,,ICZN,,,
,Plocopsylla,122010,xGG,,,ACCEPTED,SPECIES,"Plocopsylla phyllisae Smit, 1953",phyllisae,,,,ICZN,,,
,Plocopsylla,122000,xGG,,,ACCEPTED,SPECIES,"Plocopsylla phobos Jordan, 1931",phobos,,,,ICZN,,,
,Plocopsylla,121990,xGG,,,ACCEPTED,SPECIES,"Plocopsylla pallas (Rothschild, 1914)",pallas,,,,ICZN,,,
,,xG8,xG6,,,ACCEPTED,GENUS,Barreropsylla,,,,,,,,
