"","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
"99",10071479,"4cec8fef-f129-4966-89b7-4f8439aba058",1419582,NA,NA,"BOLD:ACQ4111",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Lycopsyllidae","Bradiopsylla"
"100",10194362,"4cec8fef-f129-4966-89b7-4f8439aba058",1419547,NA,NA,"BOLD:ACS4923",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Pulex"
"101",10461290,"4cec8fef-f129-4966-89b7-4f8439aba058",1418960,NA,NA,"BOLD:AAF9687",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Nearctopsylla"
"102",10331748,"4cec8fef-f129-4966-89b7-4f8439aba058",1416278,NA,NA,"BOLD:ADR7376",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae","Dorcadia"
"103",9972745,"4cec8fef-f129-4966-89b7-4f8439aba058",1416331,NA,NA,"BOLD:ACD7478",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stephanocircidae","Stephanocircus"
"104",1417895,NA,NA,NA,NA,"Acanthopsylla Jordan & Rothschild, 1922",NA,"Acanthopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",1417188,NA,NA,NA,NA,"Ceratophyllus borealis Rothschild, 1907",NA,"Ceratophyllus borealis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",1418987,NA,NA,NA,NA,"Meringis dipodomys Kohls, 1938",NA,"Meringis dipodomys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1417319,NA,NA,NA,NA,"Nosopsyllus medus Jordan, 1938",NA,"Nosopsyllus medus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",1417954,NA,NA,NA,NA,"Peromyscopsylla scotti I. Fox, 1939",NA,"Peromyscopsylla scotti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",1418803,NA,NA,NA,NA,"Rhadinopsylla bureschi Jordan, 1929",NA,"Rhadinopsylla bureschi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
