"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
208,"Siphonaptera","Rhopalopsyllidae","Polygenis","platensis","platensis","Jordan & Rothschild, 1908","subspecies",0,"Polygenis platensis platensis","NMNH"
209,"Siphonaptera","Rhopalopsyllidae","Polygenis","pygaerus",NA,"Wagner, 1937","species",0,"Polygenis pygaerus","NMNH"
210,"Siphonaptera","Rhopalopsyllidae","Polygenis","rimatus",NA,"Jordan, 1932","species",0,"Polygenis rimatus","NMNH"
212,"Siphonaptera","Rhopalopsyllidae","Tiamastus","callens",NA,"Jordan & Rothschild, 1923","species",0,"Tiamastus callens","NMNH"
213,"Siphonaptera","Tungidae","Hectopsylla","stomis",NA,"Jordan, 1925","species",0,"Hectopsylla stomis","NMNH"
214,"Siphonaptera","Tungidae","Rhynchopsyllus","pulex",NA,"Haller, 1880","species",0,"Rhynchopsyllus pulex","NMNH"
215,"Siphonaptera","Tungidae","Tunga","penetrans",NA,"Linnaeus, 1758","species",0,"Tunga penetrans","NMNH"
216,"Siphonaptera","Leptopsyllidae","Leptopsylla","segnis",NA,"","species",0,"Leptopsylla segnis","NMNH"
217,"Siphonaptera","Ceratophyllidae","Nosopsyllus","londiniensis",NA,"","species",0,"Nosopsyllus londiniensis","NMNH"
218,"Siphonaptera","Pulicidae","Echidnophaga","gallinacea",NA,"","species",0,"Echidnophaga gallinacea","NMNH"
219,"Siphonaptera","Macropsyllidae","Macropsylla","hercules",NA,"Rothschild, 1905","species",0,"Macropsylla hercules","NMNH"
220,"Siphonaptera","Stephanocircidae","Stephanocircus","concinnis",NA,"Rothschild, 1916","species",0,"Stephanocircus concinnis","NMNH"
221,"Siphonaptera","Stephanocircidae","Stephanocircus","dasyuri",NA,"Skuse, 1893","species",0,"Stephanocircus dasyuri","NMNH"
222,"Siphonaptera","Stephanocircidae","Stephanocircus","domrowi",NA,"Traub & Dunnet, 1973","species",0,"Stephanocircus domrowi","NMNH"
223,"Siphonaptera","Stephanocircidae","Stephanocircus","harrisoni",NA,"Traub & Dunnet, 1973","species",0,"Stephanocircus harrisoni","NMNH"
224,"Siphonaptera","Rhopalopsyllidae","Parapsyllus","australiacus",NA,"Rothschild, 1909","species",0,"Parapsyllus australiacus","NMNH"
225,"Siphonaptera","Pulicidae","Ctenocephalides","felis","felis","Bouche, 1835","subspecies",0,"Ctenocephalides felis felis","NMNH"
