"catalog number","barcode","catalog","class","order","family","scientificName","type status","type citation","other identifications","sex and stage","preparation","bioregion","distribution","country","province/state","district/county","precise locality","elevation (m)","centroid latitude","centroid longitude","field number","collector(s)","collecting date","specimen count","record status","genetic sample type","biorepository number","bold id","genbank numbers","preservation method","embargo?","depleted?","record last modified","ezid","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","reason"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Nosopsyllus (Gerbillophilus) unidentified",NA,NA,NA,NA,"Slide","Palaearctic","Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2017-01-03 17:31:00,"http://n2t.net/ark:/65665/30486e6eb-778d-4671-8b84-e0052f030f59","NMNH",482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus","Gerbillophilus","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus unidentified",NA,NA,NA,NA,"Slide","Afrotropical; Nearctic; Neotropical; Palaearctic","Italy; Mexico; Senegal; Siberia; United States (Idaho, Michigan, Minnesota, Montana, Oklahoma, Oregon, Texas, Washington, Wyoming)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:19:00,"http://n2t.net/ark:/65665/317f43588-aedb-4f69-8ab8-cb5d5b01ca10","NMNH",500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ischnopsyllidae","Myodopsylla unidentified",NA,NA,NA,NA,"Slide","Nearctic; Neotropical; Palaearctic","Korea; Mexico; United States (Arizona, California, Texas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/39eab9587-e2d4-462b-a81a-c20d6fae460e","NMNH",523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myodopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Meringis unidentified",NA,NA,NA,NA,"Slide","Nearctic; Neotropical","Mexico; United States (California, Idaho, Montana, New Mexico, Oregon, Utah, Washington)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/33bf8ff48-fa85-4f65-95c9-5ed34f6bda21","NMNH",583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meringis",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Strepsylla unidentified",NA,NA,NA,NA,"Slide","Neotropical","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-23 19:17:00,"http://n2t.net/ark:/65665/3f2f84827-1524-426d-ad08-977c776aec20","NMNH",599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strepsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Dinopsyllus (Dinopsyllus) unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Mozambique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-23 16:40:00,"http://n2t.net/ark:/65665/3dec0bbd5-2eea-4bc4-9d05-5aa77e0844aa","NMNH",624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dinopsyllus","Dinopsyllus","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Stivaliidae","Lentistivalius unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Mozambique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-23 16:40:00,"http://n2t.net/ark:/65665/3400d063e-e987-452a-8219-68a520a5a018","NMNH",629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lentistivalius",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Stivaliidae","Papuapsylla unidentified",NA,NA,NA,NA,"Slide","Australasian","New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2017-01-03 20:40:00,"http://n2t.net/ark:/65665/3aa084bc7-f423-45b5-bd0f-3d6a784e376b","NMNH",671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Papuapsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Stivaliidae","Rectidigitus unidentified",NA,NA,NA,NA,"Slide","Australasian","New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2017-01-03 20:40:00,"http://n2t.net/ark:/65665/394f793ba-6e5f-4697-84fe-5cb5fbc54229","NMNH",674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rectidigitus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Leptopsyllidae","Frontopsylla (Frontopsylla) unidentified",NA,NA,NA,NA,"Slide","Palaearctic","Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-18 20:43:00,"http://n2t.net/ark:/65665/3abc02d6e-3a4e-477f-a166-c9041438ac14","NMNH",692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Frontopsylla","Frontopsylla","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Stivaliidae","Orthopsylloides unidentified",NA,NA,NA,NA,"Slide","Australasian","Papau New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2017-01-03 20:40:00,"http://n2t.net/ark:/65665/3fd818169-cbd7-4c61-9816-2c5ecc29cc36","NMNH",718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orthopsylloides",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Stephanocircidae","Craneopsylla unidentified",NA,NA,NA,NA,"Slide","Neotropical","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-23 19:04:00,"http://n2t.net/ark:/65665/38cd3023f-9745-4474-85ff-b449c1d2769f","NMNH",729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Craneopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Stivaliidae","Stivalius unidentified",NA,NA,NA,NA,"Slide","Oriental","Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-15 16:06:00,"http://n2t.net/ark:/65665/3588032f2-c4cc-4aae-9651-27f7e4030126","NMNH",737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stivalius",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Chimaeropsyllidae","Demeillonia unidentified",NA,NA,NA,NA,"Slide","Afrotropical","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:21:00,"http://n2t.net/ark:/65665/344a039e6-9a9d-4309-8623-bd016a26e221","NMNH",768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Demeillonia",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Chimaeropsyllidae","Praopsylla unidentified",NA,NA,NA,NA,"Slide","Afrotropical","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:21:00,"http://n2t.net/ark:/65665/3ed06aad2-7d14-4721-9fef-440d1a48e337","NMNH",773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Praopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Pariodontis unidentified",NA,NA,NA,NA,"Slide","Afrotropical","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:20:00,"http://n2t.net/ark:/65665/33fa7a251-a5dd-40e1-baf3-6dd411cbd470","NMNH",784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pariodontis",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Pulex (Pulex) unidentified",NA,NA,NA,NA,"Slide","Nearctic; Palaearctic","Turkey; United States (Florida, Nebraska, Puerto Rico, South Carolina, Texas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:18:00,"http://n2t.net/ark:/65665/3c55a05d6-55da-4018-b1e0-dff065c5a115","NMNH",831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex","Pulex","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Kohlsia unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (California)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:19:00,"http://n2t.net/ark:/65665/34c68b96e-024a-4fda-854f-c95f08f037f4","NMNH",901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kohlsia",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Dactylopsylla unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (California, Montana)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:19:00,"http://n2t.net/ark:/65665/37426043c-5b0c-434c-96ae-eedd82a8b27f","NMNH",907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dactylopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Foxella unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Montana, Washington)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:19:00,"http://n2t.net/ark:/65665/340f762de-be58-4797-b362-7c4633b4af1f","NMNH",917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Foxella",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Malaraeus unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Montana)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:19:00,"http://n2t.net/ark:/65665/33240c1a0-b946-42bc-9836-fe957faa0924","NMNH",920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malaraeus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Opisodasys unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (California, Montana, Nevada, Texas, Utah, Washington, Wyoming)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:20:00,"http://n2t.net/ark:/65665/39e934fea-b8a1-4978-8e11-e1ff111dda1f","NMNH",922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla (Diamanus) unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Arizona, California, Colorado, Florida, Nevada, New Mexico, Oregon, Texas, Utah, Wyoming)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:20:00,"http://n2t.net/ark:/65665/36b8f5be3-9d8f-42f6-86bf-d6710585548e","NMNH",933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla","Diamanus","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla (Opisocrostis) unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Arizona, Colorado, Idaho, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:20:00,"http://n2t.net/ark:/65665/39e52f876-0ae4-42e4-9fdc-0e134b79357c","NMNH",937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla","Opisocrostis","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Thrassis unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Montana)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/38b1f5c41-1a81-478a-9666-5a6bd3cecf02","NMNH",946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thrassis",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Leptopsyllidae","Dolichopsyllus unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Oregon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/3804101ee-7b1e-4254-897b-a49994eefb9c","NMNH",949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dolichopsyllus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Dasypsyllus unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Arizona, California, New Mexico, Oregon, Utah)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:19:00,"http://n2t.net/ark:/65665/39c328b38-b0bf-48c1-9e9a-fcc35181ac92","NMNH",957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dasypsyllus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla (Oropsylla) unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Arizona, Colorado, Idaho, Montana, Nevada, New Mexico, North Dakota, Oregon, Utah, Washington, Wyoming)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:20:00,"http://n2t.net/ark:/65665/360a7914c-4597-48da-ad67-09726bf128ac","NMNH",963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla","Oropsylla","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Leptopsyllidae","Odontopsyllus unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Massachusetts)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/3cbfd4c40-64cf-4669-80e9-a225c4f68237","NMNH",966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Odontopsyllus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ischnopsyllidae","Nycteridopsylla unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Kentucky)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/32a5474eb-686b-4227-8950-50a25bd19511","NMNH",974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Leptopsyllidae","Peromyscopsylla unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (California, Colorado, Montana, Washington)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/30fe138f6-d23d-4e41-8721-74b467ee25ae","NMNH",977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peromyscopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Phalacropsylla unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Colorado)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/31cbe7870-85a3-422e-bc57-6d5d77cdcbdd","NMNH",982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phalacropsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Rhadinopsylla unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Montana)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/3fb78eb68-8dfe-409f-9d12-2f7e33a89568","NMNH",983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Arizona, California, Utah)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:22:00,"http://n2t.net/ark:/65665/3ee3af487-c8c5-4d18-891d-c9f24bbeb5e6","NMNH",989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anomiopsyllus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Atyphloceras unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (California, New Mexico, Oregon, Utah, Washington)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:17:00,"http://n2t.net/ark:/65665/37906f61c-2644-43a3-8ded-ecf788d68edc","NMNH",992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atyphloceras",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Catallagia unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (California, Idaho, Montana, New Mexico, Oregon, Washington)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:17:00,"http://n2t.net/ark:/65665/3351eb0fb-0f54-40f5-8eec-fefc6173adc1","NMNH",998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Catallagia",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Corypsylla unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (Montana, Oregon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:17:00,"http://n2t.net/ark:/65665/3b60beaff-f064-4ddc-8367-c864830500d8","NMNH",1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corypsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Hystrichopsylla unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (California, Oregon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:17:00,"http://n2t.net/ark:/65665/34de7a11a-ab35-4413-bc8c-60f33d2018db","NMNH",1012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Stenistomera unidentified",NA,NA,NA,NA,"Slide","Nearctic","United States (New Mexico)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:18:00,"http://n2t.net/ark:/65665/3d03256fd-c53e-4bd1-9be1-f13f1f55f014","NMNH",1023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stenistomera",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
