"catalog number","barcode","catalog","class","order","family","scientificName","type status","type citation","other identifications","sex and stage","preparation","bioregion","distribution","country","province/state","district/county","precise locality","elevation (m)","centroid latitude","centroid longitude","field number","collector(s)","collecting date","specimen count","record status","genetic sample type","biorepository number","bold id","genbank numbers","preservation method","embargo?","depleted?","record last modified","ezid","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","reason"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Tungidae","Hectopsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 15:24:00,"http://n2t.net/ark:/65665/31779f5c1-02b0-4ff0-9b40-21bb7ad5fdf7","NMNH",171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hectopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Tungidae","Rhynchopsyllus unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 15:24:00,"http://n2t.net/ark:/65665/357a4de86-c922-4d1d-8de8-4c28f2109352","NMNH",172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhynchopsyllus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Ctenocephalides unidentified",NA,NA,NA,NA,"Slide","Afrotropical; Nearctic; Oriental; Palaearctic","Angola; Botswana; Burma; Egypt; Kenya; Madagascar; Senegal; South Africa; Tanzania; United States (Kansas); Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:18:00,"http://n2t.net/ark:/65665/3b9c57347-e23b-41f9-a537-2138a9933ea2","NMNH",186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenocephalides",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Stephanocircidae","Plocopsylla unidentified",NA,NA,NA,NA,"Slide","Neotropical","Argentina; Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:19:00,"http://n2t.net/ark:/65665/37103d7de-5115-4eeb-a2fb-432047f90e9c","NMNH",196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plocopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Malacopsyllidae","Malacopsylla unidentified",NA,NA,NA,NA,"Slide","Neotropical","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 18:39:00,"http://n2t.net/ark:/65665/34c063bf7-1191-41e3-9952-ccf94e10b009","NMNH",197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malacopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Rhopalopsyllidae","Parapsyllus unidentified",NA,NA,NA,NA,"Slide","Neotropical","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 18:39:00,"http://n2t.net/ark:/65665/3f3900275-7490-4ac6-85f1-30e5f5ba6b3c","NMNH",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parapsyllus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Rhopalopsyllidae","Polygenis (Polygenis) unidentified",NA,NA,NA,NA,"Slide","Neotropical","Argentina; Mexico; Trinidad; Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:19:00,"http://n2t.net/ark:/65665/3497efbf3-a731-46c0-9e5c-e069b8488fe1","NMNH",211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis","Polygenis","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pygiopsyllidae","Pygiopsylla unidentified",NA,NA,NA,NA,"Slide","Australasian","Australia; New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-22 16:10:00,"http://n2t.net/ark:/65665/3132946e7-b1c8-4b27-ab21-309e04584a44","NMNH",239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Chimaeropsyllidae","Chiastopsylla unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana; South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:21:00,"http://n2t.net/ark:/65665/37dd57c17-f9ed-4874-b6b6-6642889931a4","NMNH",249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Chimaeropsyllidae","Epirimia unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana; South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:21:00,"http://n2t.net/ark:/65665/3d36f4b83-0cb8-47bb-a0dc-52a06ff1d1e3","NMNH",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epirimia",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
