"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
67,"Siphonaptera","Ctenophthalmidae","Agastopsylla","pearsoni",NA,"Traub, 1952","species",0,"Agastopsylla pearsoni","Lewis"
68,"Siphonaptera","Ischnopsyllidae","Alectopsylla","unisetosa",NA,"Mahnert, 1976","species",0,"Alectopsylla unisetosa","Lewis"
69,"Siphonaptera","Ischnopsyllidae","Allopsylla","alloides",NA,"(Smit, 1977)","species",0,"Allopsylla alloides","Lewis"
70,"Siphonaptera","Ischnopsyllidae","Allopsylla","hetera",NA,"Beaucournu & Fain, 1982","species",0,"Allopsylla hetera","Lewis"
71,"Siphonaptera","Ischnopsyllidae","Allopsylla","lobayensis",NA,"Beaucournu & Barrière, 2002","species",0,"Allopsylla lobayensis","Lewis"
74,"Siphonaptera","Ceratophyllidae","Amalaraeus","arvicolae",NA,"(Ioff, 1948)","species",0,"Amalaraeus arvicolae","Lewis"
80,"Siphonaptera","Ceratophyllidae","Amalaraeus","dobbsi",NA,"(Hubbard, 1940)","species",0,"Amalaraeus dobbsi","Lewis"
81,"Siphonaptera","Ceratophyllidae","Amalaraeus","improvisus",NA,"(Ioff, 1946)","species",0,"Amalaraeus improvisus","Lewis"
90,"Siphonaptera","Ceratophyllidae","Amalaraeus","steineri",NA,"(Peus, 1977)","species",0,"Amalaraeus steineri","Lewis"
92,"Siphonaptera","Ceratophyllidae","Amaradix","bitterrootensis",NA,"(Dunn, 1923)","species",0,"Amaradix bitterrootensis","Lewis"
93,"Siphonaptera","Ceratophyllidae","Amaradix","euphorbi",NA,"(Rothschild, 1905)","species",0,"Amaradix euphorbi","Lewis"
94,"Siphonaptera","Ceratophyllidae","Amaradix","vonfintelis",NA,"(Prince, 1959)","species",0,"Amaradix vonfintelis","Lewis"
95,"Siphonaptera","Ceratophyllidae","Amonopsyllus","ciliatus",NA,"Baker, 1904","species",0,"Amonopsyllus ciliatus","Lewis"
99,"Siphonaptera","Ceratophyllidae","Amphalius","manosus",NA,"Li, 1979","species",0,"Amphalius manosus","Lewis"
108,"Siphonaptera","Leptopsyllidae","Amphipsylla","anceps",NA,"Wagner, 1930","species",0,"Amphipsylla anceps","Lewis"
109,"Siphonaptera","Leptopsyllidae","Amphipsylla","apiciflata",NA,"Liu, Xu & Li, 1988","species",0,"Amphipsylla apiciflata","Lewis"
