"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Lewis",91,"NA","NA","Lewis91","NA","NA","NA","NA","NA","Trichopsylla Jordan & Rothschild, 1920","Amalaraeus Ioff, 1936","NA","NA","NA","NA","1936","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Trichopsylla",NA,NA,NA,"review","NA","Jordan & Rothschild, 1920","NA","NA","junior homonym","NA","junior homonym of Trichopsylla Kolenati, 1863","Trichopsylla"
"Lewis",91,"NA","NA","Lewis91","NA","NA","NA","NA","NA","Trichopsylla Ewing & Fox, 1943","Amalaraeus Ioff, 1936","NA","NA","NA","NA","1936","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Trichopsylla",NA,NA,NA,"review","NA","Ewing & Fox, 1943","NA","NA","junior homonym","NA","junior homonym of Trichopsylla Kolenati, 1863","Trichopsylla"
"Lewis",41,"NA","NA","Lewis41","NA","NA","NA","NA","NA","Spalacopsylla Pinto, 1930","Adoratopsylla Ewing, 1925","NA","NA","NA","NA","1925","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Doratopsyllinae","Spalacopsylla",NA,NA,NA,"review","NA","Pinto, 1930","NA","NA","junior synonym","NA",NA,"Spalacopsylla"
"Lewis",827,"NA","NA","Lewis827","NA","NA","NA","NA","NA","Spalacopsylla Kolenati, 1856","Ctenophthalmus Kolenati, 1856","NA","NA","NA","NA","1856","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Spalacopsylla",NA,NA,NA,"review","NA","Kolenati, 1856","NA","NA","junior synonym","NA",NA,"Spalacopsylla"
"Lewis",1233,"NA","NA","Lewis1233","NA","NA","NA","NA","NA","Spalacopsylla Oudemans, 1906 Nychopsyllus Eysell, 1913","Ischnopsyllus Westwood, 1833","NA","NA","NA","NA","1833","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Ischnopsyllinae","Spalacopsylla",NA,NA,NA,"review","NA","Oudemans, 1906 Nychopsyllus Eysell, 1913","NA","NA","junior synonym","NA",NA,"Spalacopsylla"
"Lewis",2260,"NA","NA","Lewis2260","NA","NA","NA","NA","NA","Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla zethi (Rothschild, 1904)","NA","NA","NA","NA","1904","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","NA","Pygiopsylla",NA,"congrua",NA,"species","NA","Jordan & Rothschild, 1922","NA","NA","NA","NA","male","Pygiopsylla congrua"
"Lewis",1940,"NA","NA","Lewis1940","NA","NA","NA","NA","NA","Palaeopsylla makaluensis Brelih, 1975","Palaeopsylla tauberi makaluensis Brelih, 1975","NA","NA","NA","NA","1975","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Palaeopsylla",NA,"makaluensis",NA,"species","NA","Brelih, 1975","NA","NA","NA","NA","male","Palaeopsylla makaluensis"
"Lewis",443,"NA","NA","Lewis443","NA","NA","NA","NA","NA","Ischnopsyllus schmitzi Oudemans, 1909","Citellophilus simplex simplex (Wagner, 1902)","NA","NA","NA","NA","1902","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Ischnopsyllus",NA,"schmitzi",NA,"species","NA","Oudemans, 1909","NA","NA","NA","NA","male of Ischnopsyllus simplex simplex","Ischnopsyllus schmitzi"
"Lewis",2515,"NA","NA","Lewis2515","NA","NA","NA","NA","NA","Opisodasys jellisoni I. Fox, 1941","Tarsopsylla octodecimdentata (Kolenati, 1863)","NA","NA","NA","NA","1863","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Opisodasys",NA,"jellisoni",NA,"species","NA","I. Fox, 1941","NA","NA","NA","NA","male Tarsopsylla octodecimdentata","Opisodasys jellisoni"
"Lewis",2710,"NA","NA","Lewis2710","NA","NA","NA","NA","NA","Xenopsylla skrjabini Ioff, 1928","Xenopsylla skrjabini Ioff, 1930","NA","NA","NA","NA","1930","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsyllinae","Xenopsylla",NA,"skrjabini",NA,"species","NA","Ioff, 1928","NA","NA","NA","NA","only later 1930 did Ioff describe","Xenopsylla skrjabini"
