"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"GBIF, CoL","1417287",NA,NA,"1417236",6547290,NA,NA,NA,"Nosopsyllus sarinus (Jordan & Rothschild, 1921)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Nosopsyllus",NA,"sarinus",NA,"species",NA,"(Jordan & Rothschild, 1921)",NA,NA,"accepted",NA,NA,"Nosopsyllus sarinus"
"GBIF, CoL","10641065",NA,1419468,"1419466",NA,NA,NA,NA,"Ctenocephalus canis (Bouche, 1835)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Ctenocephalides",NA,"canis",NA,"species",NA,"(Bouche, 1835)",NA,NA,"synonym",NA,NA,"Ctenocephalus canis"
"GBIF, CoL","5051129",NA,1419468,"1419466",NA,NA,NA,NA,"Ctenocephalus canis (Duges, 1832)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Ctenocephalides",NA,"canis",NA,"species",NA,"(Duges, 1832)",NA,NA,"synonym",NA,NA,"Ctenocephalus canis"
"GBIF","4480840",NA,1417422,"1417396",NA,NA,NA,NA,"Ceratophyllus gemina Ioff, 1946",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Callopsylla",NA,"gemina",NA,"species",NA,"Ioff, 1946",NA,NA,"homotypic synonym",NA,NA,"Ceratophyllus gemina"
"GBIF","1417576",NA,NA,"5324",NA,NA,NA,NA,"Hirtopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Hirtopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"doubtful",NA,NA,"Hirtopsylla"
"GBIF","4481004",NA,1419562,"1419561",NA,NA,NA,NA,"Ceratophyllus leporis Taschenberg, 1880",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Spilopsyllus",NA,"leporis",NA,"species",NA,"Taschenberg, 1880",NA,NA,"heterotypic synonym",NA,NA,"Ceratophyllus leporis"
"GBIF, CoL","1419563",NA,1419562,"1419561",NA,NA,NA,NA,"Spilopsyllus goniocephalus (Taschenberg, 1880)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Spilopsyllus",NA,"goniocephalus",NA,"species",NA,"(Taschenberg, 1880)",NA,NA,"synonym",NA,NA,"Spilopsyllus goniocephalus"
"GBIF","4481003",NA,1419562,"1419561",NA,NA,NA,NA,"Pulex cuniculi C.W.Dale, 1878",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Spilopsyllus",NA,"cuniculi",NA,"species",NA,"C.W.Dale, 1878",NA,NA,"homotypic synonym",NA,NA,"Pulex cuniculi"
"GBIF","10489172",NA,NA,"1419562",NA,NA,NA,NA,"BOLD:ACD7675",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Spilopsyllus",NA,NA,NA,"unranked",NA,NA,NA,NA,"accepted",NA,NA,NA
"GBIF, CoL","1417232",NA,1417228,"1417115",NA,NA,NA,NA,"Ceratopsyllus troglodytes Dampf, 1908",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Ceratophyllus",NA,"troglodytes",NA,"species",NA,"Dampf, 1908",NA,NA,"synonym",NA,NA,"Ceratopsyllus troglodytes"
"GBIF, CoL","1417229",NA,1417228,"1417115",NA,NA,NA,NA,"Ceratopsyllus pinnatus Wagner, 1898",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Ceratophyllus",NA,"pinnatus",NA,"species",NA,"Wagner, 1898",NA,NA,"synonym",NA,NA,"Ceratopsyllus pinnatus"
"GBIF","4480849",NA,1417228,"1417115",NA,NA,NA,NA,"Ceratophyllus oiticus Peus, 1954",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Ceratophyllus",NA,"oiticus",NA,"species",NA,"Peus, 1954",NA,NA,"heterotypic synonym",NA,NA,"Ceratophyllus oiticus"
"GBIF, CoL","1416647",NA,1416646,"1416605",NA,NA,NA,NA,"Nomadopsylla brennani Augustson, 1944",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Thrassis",NA,"brennani",NA,"species",NA,"Augustson, 1944",NA,NA,"synonym",NA,NA,"Nomadopsylla brennani"
