"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","syn1","syn2","syn3","syn4","syn5","syn6","syn7","syn8","syn9","syn10","syn11","syn12","syn13"
"Ceratophyllidae","Ceratophyllinae","Amalaraeus","penicilliger mustelae","(Dale)","1878","Ceratophyllus mustelae Wagner, 1898 (junior homonym)","Lewis",84,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus mustelae Wagner, 1898 ","Amalaraeus penicilliger mustelae (Dale, 1878)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"penicilliger","mustelae","subspecies",NA,"(Dale, 1878)",NA,NA,NA,NA,"junior homonym","Amalaraeus penicilliger mustelae","Ceratophyllus mustelae Wagner, 1898 (junior homonym)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptopsyllidae","Amphipsyllinae","Amphipsylla","sibirica sibirica","(Wagner)","1898","Typhlopsylla sibirica Wagner, 1901 (junior homonym); Ceratophyllus thoracicus Rothschild, 1911","Lewis",153,NA,NA,NA,NA,NA,NA,NA,NA,"Typhlopsylla sibirica Wagner, 1901 ","Amphipsylla sibirica sibirica (Wagner, 1898)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"sibirica","sibirica","subspecies",NA,"(Wagner, 1898)",NA,NA,NA,NA,"junior homonym","Amphipsylla sibirica sibirica","Typhlopsylla sibirica Wagner, 1901 (junior homonym)","Ceratophyllus thoracicus Rothschild, 1911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","farreni chaoi","Smit & Allan","1955","Ceratophyllus chaoi Wang, 1957 (junior homonym)","Lewis",327,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus chaoi Wang, 1957 ","Ceratophyllus farreni chaoi Smit & Allan, 1955",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"farreni","chaoi","subspecies",NA,"Smit & Allan, 1955",NA,NA,NA,NA,"junior homonym","Ceratophyllus farreni chaoi","Ceratophyllus chaoi Wang, 1957 (junior homonym)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes peusianus","Rosicky","1955","Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim); Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim); Ctenophthalmus agyrtes obenbergeri Rosicky, 1957","Lewis",548,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus agyrtes slovacicus Rosicky, 1951 ","Ctenophthalmus agyrtes peusianus Rosicky, 1955",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"agyrtes","peusianus","subspecies",NA,"Rosicky, 1955",NA,NA,NA,NA,"partim","Ctenophthalmus agyrtes peusianus","Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim)","Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim)","Ctenophthalmus agyrtes obenbergeri Rosicky, 1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenophthalmidae","Ctenophthalminae","Palaeopsylla","tauberi makaluensis","Brelih","1975","Palaeopsylla makaluensis Brelih, 1975 (Male)","Lewis",1940,NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla makaluensis Brelih, 1975 ","Palaeopsylla tauberi makaluensis Brelih, 1975",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"tauberi","makaluensis","subspecies",NA,"Brelih, 1975",NA,NA,NA,NA,"Male","Palaeopsylla tauberi makaluensis","Palaeopsylla makaluensis Brelih, 1975 (Male)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenophthalmidae","Rhadinopsyllinae","Rhadinopsylla","li transbaikalica","Ioff & Tiflov","1947","Rhadinopsylla acuminata Ioff & Tiflov, 1946 (suppressed by ICZN)","Lewis",2315,NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla acuminata Ioff & Tiflov, 1946 ","Rhadinopsylla li transbaikalica Ioff & Tiflov, 1947",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"li","transbaikalica","subspecies",NA,"Ioff & Tiflov, 1947",NA,NA,NA,NA,"suppressed by ICZN","Rhadinopsylla li transbaikalica","Rhadinopsylla acuminata Ioff & Tiflov, 1946 (suppressed by ICZN)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Amalaraeus",NA,"Ioff","1936","Trichopsylla Kolenati, 1863; Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863); Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)","Lewis",91,NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla Jordan & Rothschild, 1920 ","Amalaraeus Ioff, 1936",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ioff, 1936",NA,NA,NA,NA,"junior homonym of Trichopsylla Kolenati, 1863","Amalaraeus","Trichopsylla Kolenati, 1863","Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863)","Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Jellisonia",NA,"Traub","1944","Pleochaetoides Augustson, 1944 (subgenus); Jellisonia Traub, 1944 (subgenus)","Lewis",1251,NA,NA,NA,NA,NA,NA,NA,NA,"Jellisonia Traub, 1944 ","Jellisonia Traub, 1944",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Traub, 1944",NA,NA,NA,NA,"subgenus","Jellisonia","Pleochaetoides Augustson, 1944 (subgenus)","Jellisonia Traub, 1944 (subgenus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischnopsyllidae","Ischnopsyllinae","Nycteridopsylla",NA,"Oudemans","1906","Eptescopsylla I. Fox, 1940; Aneptescopsylla Ioff, 1953 (unrecognized subgenus); Dinycteridopsylla Ioff, 1953 (unrecognized subgenus); Hexanycteropsylla Ioff, 1953 (unrecognized subgenus)","Lewis",1784,NA,NA,NA,NA,NA,NA,NA,NA,"Aneptescopsylla Ioff, 1953 ","Nycteridopsylla Oudemans, 1906",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Oudemans, 1906",NA,NA,NA,NA,"unrecognized subgenus","Nycteridopsylla","Eptescopsylla I. Fox, 1940","Aneptescopsylla Ioff, 1953 (unrecognized subgenus)","Dinycteridopsylla Ioff, 1953 (unrecognized subgenus)","Hexanycteropsylla Ioff, 1953 (unrecognized subgenus)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenophthalmidae","Rhadinopsyllinae","Rhadinopsylla",NA,"Jordan & Rothschild","1912","Rectofrontia Wagner, 1930 (synonym of subgenus Actenophthalmus); Rangulpsylla Darskaya, 1949 (synonym of subgenus Actenophthalmus)","Lewis",2345,NA,NA,NA,NA,NA,NA,NA,NA,"Rangulpsylla Darskaya, 1949 ","Rhadinopsylla Jordan & Rothschild, 1912",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1912",NA,NA,NA,NA,"synonym of subgenus Actenophthalmus","Rhadinopsylla","Rectofrontia Wagner, 1930 (synonym of subgenus Actenophthalmus)","Rangulpsylla Darskaya, 1949 (synonym of subgenus Actenophthalmus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Thrassis",NA,"Jordan","1933","Nomadopsylla Stark, 1970 (junior synonym of Thrassis); Pandoropsylla Stark, 1970 (junior synonym of Thrassis); Thrassoides Stark, 1970 (junior synonym of Thrassis)","Lewis",2544,NA,NA,NA,NA,NA,NA,NA,NA,"Pandoropsylla Stark, 1970 ","Thrassis Jordan, 1933",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1933",NA,NA,NA,NA,"junior synonym of Thrassis","Thrassis","Nomadopsylla Stark, 1970 (junior synonym of Thrassis)","Pandoropsylla Stark, 1970 (junior synonym of Thrassis)","Thrassoides Stark, 1970 (junior synonym of Thrassis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","hirundinis","(Curtis)","1826","Pulex hirundinis Köhler, 1832 (junior homonym); Ceratophyllus hirundinis Chao, 1947 (junior homonym); Ceratophyllus hirundinis oiticus Peus, 1954; Ceratophyllus phaulius Rothschild, 1909; Ceratophyllus pinnatus Wagner, 1898; Ceratophyllus troglodytes Dampf, 1908","Lewis",337,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hirundinis Chao, 1947 ","Ceratophyllus hirundinis (Curtis, 1826)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"hirundinis",NA,"species",NA,"(Curtis, 1826)",NA,NA,NA,NA,"junior homonym","Ceratophyllus hirundinis","Pulex hirundinis Köhler, 1832 (junior homonym)","Ceratophyllus hirundinis Chao, 1947 (junior homonym)","Ceratophyllus hirundinis oiticus Peus, 1954","Ceratophyllus phaulius Rothschild, 1909","Ceratophyllus pinnatus Wagner, 1898","Ceratophyllus troglodytes Dampf, 1908",NA,NA,NA,NA,NA,NA,NA
"Pulicidae","Archaeopsyllinae","Ctenocephalides","canis","(Curtis)","1926","Pulex canis Curtis, 1826 (junior homonym); Pulex canis Dugès, 1832 (junior homonym); Ctenocephalus novemdentatus Kolenati, 1859","Lewis",516,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex canis Dugès, 1832 ","Ctenocephalides canis (Curtis, 1926)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"canis",NA,"species",NA,"(Curtis, 1926)",NA,NA,NA,NA,"junior homonym","Ctenocephalides canis","Pulex canis Curtis, 1826 (junior homonym)","Pulex canis Dugès, 1832 (junior homonym)","Ctenocephalus novemdentatus Kolenati, 1859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus","intermedius","(Rothschild)","1898","Ceratopsylla wagneri Kohaut, 1903; Ischnopsyllus schmitzi Oudemans, 1909 (female Ischnopsyllus intermedius)","Lewis",1214,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus schmitzi Oudemans, 1909 ","Ischnopsyllus intermedius (Rothschild, 1898)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"intermedius",NA,"species",NA,"(Rothschild, 1898)",NA,NA,NA,NA,"female Ischnopsyllus intermedius","Ischnopsyllus intermedius","Ceratopsylla wagneri Kohaut, 1903","Ischnopsyllus schmitzi Oudemans, 1909 (female Ischnopsyllus intermedius)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus","needhami","Hsu","1935","Ischnopsyllus wassilii Scalon 1935; Ischnopsyllus vasilii Skalon (in Argyropulo, 1948)","Lewis",1219,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus vasilii Skalon ","Ischnopsyllus needhami Hsu, 1935",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"needhami",NA,"species",NA,"Hsu, 1935",NA,NA,NA,NA,"in Argyropulo, 1948","Ischnopsyllus needhami","Ischnopsyllus wassilii Scalon 1935","Ischnopsyllus vasilii Skalon (in Argyropulo, 1948)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptopsyllidae","Leptopsyllinae","Leptopsylla","segnis","(Schönherr)","1811","Pulex musculi Dugès, 1832; Pulex musculi Bouché, 1835 (junior homonym of Pulex musculi Dugès, 1832); Ctenophthalmus quadridentatus Kolenati, 1859; Ctenophthalmus bisbidentatus Kolenati, 1859;Typhlopsylla mexicana Baker, 1896;","Lewis",1327,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex musculi Bouché, 1835 ","Leptopsylla segnis (Schönherr, 1811)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"segnis",NA,"species",NA,"(Schönherr, 1811)",NA,NA,NA,NA,"junior homonym of Pulex musculi Dugès, 1832","Leptopsylla segnis","Pulex musculi Dugès, 1832","Pulex musculi Bouché, 1835 (junior homonym of Pulex musculi Dugès, 1832)","Ctenophthalmus quadridentatus Kolenati, 1859","Ctenophthalmus bisbidentatus Kolenati, 1859","Typhlopsylla mexicana Baker, 1896",NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Oropsylla","montana","(Baker)","1895","Ceratophyllus acutus Baker, 1904; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Diamanus hopkinsi Vargas, 1955","Lewis",1858,NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla montana mandarina ","Oropsylla montana (Baker, 1895)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"montana",NA,"species",NA,"(Baker, 1895)",NA,NA,NA,NA,"Jordan & Rothschild, 1911","Oropsylla montana","Ceratophyllus acutus Baker, 1904","Oropsylla montana mandarina (Jordan & Rothschild, 1911)","Diamanus hopkinsi Vargas, 1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenophthalmidae","Rhadinopsyllinae","Rhadinopsylla","isacantha","(Rothschild)","1907","Rhadinopsylla isacantha continentalis Smit, 1957; Rhadinopsylla pitymydis (Zavattari, 1914)","Lewis",2308,NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla pitymydis ","Rhadinopsylla isacantha (Rothschild, 1907)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"isacantha",NA,"species",NA,"(Rothschild, 1907)",NA,NA,NA,NA,"Zavattari, 1914","Rhadinopsylla isacantha","Rhadinopsylla isacantha continentalis Smit, 1957","Rhadinopsylla pitymydis (Zavattari, 1914)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pulicidae","Xenopsyllinae","Synosternus","pallidus","(Taschenberg)","1880","Synosternus pallidus infestus Wagner, 1933; Pulex witherbyi Rothschild (in: Witherby, 1902)","Lewis",2511,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex witherbyi Rothschild ","Synosternus pallidus (Taschenberg, 1880)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"pallidus",NA,"species",NA,"(Taschenberg, 1880)",NA,NA,NA,NA,"in: Witherby, 1902","Synosternus pallidus","Synosternus pallidus infestus Wagner, 1933","Pulex witherbyi Rothschild (in: Witherby, 1902)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","scintilla scintilla","(M. Rothschild)","1936","Glauertia scintilla M. Rothschild, 1936; Glauertidos M. Rothschild, 1937 (nomen novum for Glauertia = Acanthopsylla Jordan & Rothschild, 1922)","Lewis",19,NA,NA,NA,NA,NA,NA,NA,NA,"Glauertidos M. Rothschild, 1937 ","Acanthopsylla scintilla scintilla (M. Rothschild, 1936)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"scintilla","scintilla","subspecies",NA,"(M. Rothschild, 1936)",NA,NA,NA,NA,"nomen novum for Glauertia = Acanthopsylla Jordan & Rothschild, 1922","Acanthopsylla scintilla scintilla","Glauertia scintilla M. Rothschild, 1936","Glauertidos M. Rothschild, 1937 (nomen novum for Glauertia = Acanthopsylla Jordan & Rothschild, 1922)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hystrichopsyllidae","Hystrichopsyllinae","Atyphloceras","multidentatus multidentatus","(C. Fox)","1909","Atyphloceras artius Jordan 1933; Atyphoceras (sic) Atyphloceras felix Jordan, 1933","Lewis",213,NA,NA,NA,NA,NA,NA,NA,NA,"Atyphoceras  Atyphloceras felix Jordan, 1933","Atyphloceras multidentatus multidentatus (C. Fox, 1909)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"multidentatus","multidentatus","subspecies",NA,"(C. Fox, 1909)",NA,NA,NA,NA,"sic","Atyphloceras multidentatus multidentatus","Atyphloceras artius Jordan 1933","Atyphoceras (sic) Atyphloceras felix Jordan, 1933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes peusianus","Rosicky","1955","Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim); Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim); Ctenophthalmus agyrtes obenbergeri Rosicky, 1957","Lewis",548,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus orphilus tatricus Rosicky, 1951 ","Ctenophthalmus agyrtes peusianus Rosicky, 1955",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"agyrtes","peusianus","subspecies",NA,"Rosicky, 1955",NA,NA,NA,NA,"partim","Ctenophthalmus agyrtes peusianus","Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim)","Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim)","Ctenophthalmus agyrtes obenbergeri Rosicky, 1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Amalaraeus",NA,"Ioff","1936","Trichopsylla Kolenati, 1863; Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863); Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)","Lewis",91,NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla Ewing & Fox, 1943 ","Amalaraeus Ioff, 1936",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ioff, 1936",NA,NA,NA,NA,"junior homonym of Trichopsylla Kolenati, 1863","Amalaraeus","Trichopsylla Kolenati, 1863","Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863)","Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus",NA,"Westwood","1833","Ceratopsylla Wagner, 1988? Spalacopsylla Oudemans, 1906 (junior synonym)Nychopsyllus Eysell, 1913; Nycteridiphilis K. Dalla Torre, 1914; Hirtopsylla Argyropulo, 1948 (unrecognized subgenus)","Lewis",1233,NA,NA,NA,NA,NA,NA,NA,NA,"Hirtopsylla Argyropulo, 1948 ","Ischnopsyllus Westwood, 1833",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Westwood, 1833",NA,NA,NA,NA,"unrecognized subgenus","Ischnopsyllus","Ceratopsylla Wagner, 1988? Spalacopsylla Oudemans, 1906 (junior synonym)Nychopsyllus Eysell, 1913","Nycteridiphilis K. Dalla Torre, 1914","Hirtopsylla Argyropulo, 1948 (unrecognized subgenus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischnopsyllidae","Ischnopsyllinae","Nycteridopsylla",NA,"Oudemans","1906","Eptescopsylla I. Fox, 1940; Aneptescopsylla Ioff, 1953 (unrecognized subgenus); Dinycteridopsylla Ioff, 1953 (unrecognized subgenus); Hexanycteropsylla Ioff, 1953 (unrecognized subgenus)","Lewis",1784,NA,NA,NA,NA,NA,NA,NA,NA,"Dinycteridopsylla Ioff, 1953 ","Nycteridopsylla Oudemans, 1906",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Oudemans, 1906",NA,NA,NA,NA,"unrecognized subgenus","Nycteridopsylla","Eptescopsylla I. Fox, 1940","Aneptescopsylla Ioff, 1953 (unrecognized subgenus)","Dinycteridopsylla Ioff, 1953 (unrecognized subgenus)","Hexanycteropsylla Ioff, 1953 (unrecognized subgenus)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Thrassis",NA,"Jordan","1933","Nomadopsylla Stark, 1970 (junior synonym of Thrassis); Pandoropsylla Stark, 1970 (junior synonym of Thrassis); Thrassoides Stark, 1970 (junior synonym of Thrassis)","Lewis",2544,NA,NA,NA,NA,NA,NA,NA,NA,"Thrassoides Stark, 1970 ","Thrassis Jordan, 1933",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1933",NA,NA,NA,NA,"junior synonym of Thrassis","Thrassis","Nomadopsylla Stark, 1970 (junior synonym of Thrassis)","Pandoropsylla Stark, 1970 (junior synonym of Thrassis)","Thrassoides Stark, 1970 (junior synonym of Thrassis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tungidae",NA,"Tunga",NA,"Jarocki","1838","Dermatophilus Guérin, 1840; Dermatophylus Lucas, 1839; Psammodes Gistel 1850 (1847?); Rhynchoprion Karsten, 1864; Sarcophaga Westwood, 1840","Lewis",2592,NA,NA,NA,NA,NA,NA,NA,NA,"Psammodes Gistel 1850 ","Tunga Jarocki, 1838",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jarocki, 1838",NA,NA,NA,NA,"1847?","Tunga","Dermatophilus Guérin, 1840","Dermatophylus Lucas, 1839","Psammodes Gistel 1850 (1847?)","Rhynchoprion Karsten, 1864","Sarcophaga Westwood, 1840",NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","mokrzeckyi","(Wagner)","1916","Ceratophyllus acutus Baker, 1904; Diamanus hopkinsi Vargas, 1955; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Ceratophyllus sucinus Jordan & Rothschild, 1921","Lewis",1727,NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla montana mandarina ","Nosopsyllus mokrzeckyi (Wagner, 1916)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"mokrzeckyi",NA,"species",NA,"(Wagner, 1916)",NA,NA,NA,NA,"Jordan & Rothschild, 1911","Nosopsyllus mokrzeckyi","Ceratophyllus acutus Baker, 1904","Diamanus hopkinsi Vargas, 1955","Oropsylla montana mandarina (Jordan & Rothschild, 1911)","Ceratophyllus sucinus Jordan & Rothschild, 1921",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Tarsopsylla","octodecimdentata","(Kolenati)","1863","Ceratophyllus uralensis Wagner, 1898; Ctenonotus octodecimdentata octodecimdentata Kolenati 1863; Opisodasys jellisoni I. Fox, 1941 (male Tarsopsylla octodecimdentata)","Lewis",2515,NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys jellisoni I. Fox, 1941 ","Tarsopsylla octodecimdentata (Kolenati, 1863)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"octodecimdentata",NA,"species",NA,"(Kolenati, 1863)",NA,NA,NA,NA,"male Tarsopsylla octodecimdentata","Tarsopsylla octodecimdentata","Ceratophyllus uralensis Wagner, 1898","Ctenonotus octodecimdentata octodecimdentata Kolenati 1863","Opisodasys jellisoni I. Fox, 1941 (male Tarsopsylla octodecimdentata)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Citellophilus","simplex simplex","(Wagner)","1902","Ceratophyllus danubianus Rothschild, 1909; Citellophilus simplex domicae Rosicky, 1956; Ischnopsyllus schmitzi Oudemans, 1909 (male of Ischnopsyllus simplex simplex)","Lewis",443,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus schmitzi Oudemans, 1909 ","Citellophilus simplex simplex (Wagner, 1902)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"simplex","simplex","subspecies",NA,"(Wagner, 1902)",NA,NA,NA,NA,"male of Ischnopsyllus simplex simplex","Citellophilus simplex simplex","Ceratophyllus danubianus Rothschild, 1909","Citellophilus simplex domicae Rosicky, 1956","Ischnopsyllus schmitzi Oudemans, 1909 (male of Ischnopsyllus simplex simplex)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes agyrtes","(Heller)","1896","Ctenophthalmus agyrtoides Wahlgren, 1911; Ctenophthalmus agyrtes hanzaki Rosicky, 1951; Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim); Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim)","Lewis",537,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus agyrtes slovacicus Rosicky, 1951 ","Ctenophthalmus agyrtes agyrtes (Heller, 1896)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"agyrtes","agyrtes","subspecies",NA,"(Heller, 1896)",NA,NA,NA,NA,"partim","Ctenophthalmus agyrtes agyrtes","Ctenophthalmus agyrtoides Wahlgren, 1911","Ctenophthalmus agyrtes hanzaki Rosicky, 1951","Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim)","Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischnopsyllidae","Ischnopsyllinae","Nycteridopsylla",NA,"Oudemans","1906","Eptescopsylla I. Fox, 1940; Aneptescopsylla Ioff, 1953 (unrecognized subgenus); Dinycteridopsylla Ioff, 1953 (unrecognized subgenus); Hexanycteropsylla Ioff, 1953 (unrecognized subgenus)","Lewis",1784,NA,NA,NA,NA,NA,NA,NA,NA,"Hexanycteropsylla Ioff, 1953 ","Nycteridopsylla Oudemans, 1906",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Oudemans, 1906",NA,NA,NA,NA,"unrecognized subgenus","Nycteridopsylla","Eptescopsylla I. Fox, 1940","Aneptescopsylla Ioff, 1953 (unrecognized subgenus)","Dinycteridopsylla Ioff, 1953 (unrecognized subgenus)","Hexanycteropsylla Ioff, 1953 (unrecognized subgenus)",NA,NA,NA,NA,NA,NA,NA,NA,NA
