"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","syn1","syn2","syn3","syn4","syn5","syn6","syn7","syn8","syn9","syn10","syn11","syn12","syn13"
"Ctenophthalmidae","Rhadinopsyllinae","Rhadinopsylla",NA,"Jordan & Rothschild","1912","Rectofrontia Wagner, 1930 (synonym of subgenus Actenophthalmus); Rangulpsylla Darskaya, 1949 (synonym of subgenus Actenophthalmus)","Lewis",2345,NA,NA,NA,NA,NA,NA,NA,NA,"Rectofrontia Wagner, 1930 ","Rhadinopsylla Jordan & Rothschild, 1912",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1912",NA,NA,NA,NA,"synonym of subgenus Actenophthalmus","Rhadinopsylla","Rectofrontia Wagner, 1930 (synonym of subgenus Actenophthalmus)","Rangulpsylla Darskaya, 1949 (synonym of subgenus Actenophthalmus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenophthalmidae","Anomiopsyllinae","Stenistomera",NA,"Rothschild","1915","Miochaeta Good, 1942 (sunken subgenus)","Lewis",2428,NA,NA,NA,NA,NA,NA,NA,NA,"Miochaeta Good, 1942 ","Stenistomera Rothschild, 1915",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Rothschild, 1915",NA,NA,NA,NA,"sunken subgenus","Stenistomera","Miochaeta Good, 1942 (sunken subgenus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Thrassis",NA,"Jordan","1933","Nomadopsylla Stark, 1970 (junior synonym of Thrassis); Pandoropsylla Stark, 1970 (junior synonym of Thrassis); Thrassoides Stark, 1970 (junior synonym of Thrassis)","Lewis",2544,NA,NA,NA,NA,NA,NA,NA,NA,"Nomadopsylla Stark, 1970 ","Thrassis Jordan, 1933",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1933",NA,NA,NA,NA,"junior synonym of Thrassis","Thrassis","Nomadopsylla Stark, 1970 (junior synonym of Thrassis)","Pandoropsylla Stark, 1970 (junior synonym of Thrassis)","Thrassoides Stark, 1970 (junior synonym of Thrassis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptopsyllidae","Amphipsyllinae","Amphipsylla","transcaucasica","Ioff","1953","Amphipsylla kuznetzovi transcaucasica Goncharov, 1973 (junior homonym)","Lewis",156,NA,NA,NA,NA,NA,NA,NA,NA,"Amphipsylla kuznetzovi transcaucasica Goncharov, 1973 ","Amphipsylla transcaucasica Ioff, 1953",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"transcaucasica",NA,"species",NA,"Ioff, 1953",NA,NA,NA,NA,"junior homonym","Amphipsylla transcaucasica","Amphipsylla kuznetzovi transcaucasica Goncharov, 1973 (junior homonym)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","hirundinis","(Curtis)","1826","Pulex hirundinis Köhler, 1832 (junior homonym); Ceratophyllus hirundinis Chao, 1947 (junior homonym); Ceratophyllus hirundinis oiticus Peus, 1954; Ceratophyllus phaulius Rothschild, 1909; Ceratophyllus pinnatus Wagner, 1898; Ceratophyllus troglodytes Dampf, 1908","Lewis",337,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex hirundinis Köhler, 1832 ","Ceratophyllus hirundinis (Curtis, 1826)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"hirundinis",NA,"species",NA,"(Curtis, 1826)",NA,NA,NA,NA,"junior homonym","Ceratophyllus hirundinis","Pulex hirundinis Köhler, 1832 (junior homonym)","Ceratophyllus hirundinis Chao, 1947 (junior homonym)","Ceratophyllus hirundinis oiticus Peus, 1954","Ceratophyllus phaulius Rothschild, 1909","Ceratophyllus pinnatus Wagner, 1898","Ceratophyllus troglodytes Dampf, 1908",NA,NA,NA,NA,NA,NA,NA
"Pulicidae","Archaeopsyllinae","Ctenocephalides","canis","(Curtis)","1926","Pulex canis Curtis, 1826 (junior homonym); Pulex canis Dugès, 1832 (junior homonym); Ctenocephalus novemdentatus Kolenati, 1859","Lewis",516,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex canis Curtis, 1826 ","Ctenocephalides canis (Curtis, 1926)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"canis",NA,"species",NA,"(Curtis, 1926)",NA,NA,NA,NA,"junior homonym","Ctenocephalides canis","Pulex canis Curtis, 1826 (junior homonym)","Pulex canis Dugès, 1832 (junior homonym)","Ctenocephalus novemdentatus Kolenati, 1859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhopalopsyllidae","Parapsyllinae","Ectinorus","angularis","Smit & Rosicky","1972","Ectinorus onychius angularis Smit & Rosicky, 1987 (elevated to specific status by Hastriter & Sage 2011)","Lewis",946,NA,NA,NA,NA,NA,NA,NA,NA,"Ectinorus onychius angularis Smit & Rosicky, 1987 ","Ectinorus angularis Smit & Rosicky, 1972",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"angularis",NA,"species",NA,"Smit & Rosicky, 1972",NA,NA,NA,NA,"elevated to specific status by Hastriter & Sage 2011","Ectinorus angularis","Ectinorus onychius angularis Smit & Rosicky, 1987 (elevated to specific status by Hastriter & Sage 2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhopalopsyllidae","Parapsyllinae","Ectinorus","deplexus","Smit","1987","Ectinorus onychius deplexus Smit, 1987 (elevated to specific status by Hastriter & Sage 2011)","Lewis",953,NA,NA,NA,NA,NA,NA,NA,NA,"Ectinorus onychius deplexus Smit, 1987 ","Ectinorus deplexus Smit, 1987",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"deplexus",NA,"species",NA,"Smit, 1987",NA,NA,NA,NA,"elevated to specific status by Hastriter & Sage 2011","Ectinorus deplexus","Ectinorus onychius deplexus Smit, 1987 (elevated to specific status by Hastriter & Sage 2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhopalopsyllidae","Parapsyllinae","Ectinorus","onychius","(Jordan & Rothschild)","1923","Ectinorus onychius fueginus Jordan, 1942 (placed as synonyn by Hastriter and Sage 2011)","Lewis",972,NA,NA,NA,NA,NA,NA,NA,NA,"Ectinorus onychius fueginus Jordan, 1942 ","Ectinorus onychius (Jordan & Rothschild, 1923)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"onychius",NA,"species",NA,"(Jordan & Rothschild, 1923)",NA,NA,NA,NA,"placed as synonyn by Hastriter and Sage 2011","Ectinorus onychius","Ectinorus onychius fueginus Jordan, 1942 (placed as synonyn by Hastriter and Sage 2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptopsyllidae","Amphipsyllinae","Frontopsylla","tuoliensis","Yu & Zhang","1981","Frontopsylla tuoli Yu & Zhang, 1981 (misapplication of F. tuoliensis)","Lewis",1077,NA,NA,NA,NA,NA,NA,NA,NA,"Frontopsylla tuoli Yu & Zhang, 1981 ","Frontopsylla tuoliensis Yu & Zhang, 1981",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"tuoliensis",NA,"species",NA,"Yu & Zhang, 1981",NA,NA,NA,NA,"misapplication of F. tuoliensis","Frontopsylla tuoliensis","Frontopsylla tuoli Yu & Zhang, 1981 (misapplication of F. tuoliensis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
