"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Lewis, CoL, GBIF",2710,NA,NA,NA,NA,NA,NA,NA,"Citellophilus simplex simplex (Wagner, 1902)",NA,"Citellophilus simplex",NA,NA,NA,1902,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Citellophilus",NA,"simplex","simplex","subspecies",NA,"(Wagner, 1902)",NA,"ICZN","accepted",NA,NA,"Citellophilus simplex simplex"
"Lewis, CoL, GBIF",2711,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus simplex simplex Rothschild, 1906",NA,"Ischnopsyllus simplex",NA,NA,NA,1906,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus",NA,"simplex","simplex","subspecies",NA,"Rothschild, 1906",NA,"ICZN","accepted",NA,NA,"Ischnopsyllus simplex simplex"
"Lewis, CoL, GBIF",2757,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus solutus nasutus Beaucournu, Valle & Launay, 1989",NA,"Ctenophthalmus solutus",NA,NA,NA,1989,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus",NA,"solutus","nasutus","subspecies",NA,"Beaucournu, Valle & Launay, 1989",NA,"ICZN","accepted",NA,NA,"Ctenophthalmus solutus nasutus"
"Lewis, CoL, GBIF",2758,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus solutus siculus Peus, 1959",NA,"Ctenophthalmus solutus",NA,NA,NA,1959,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus",NA,"solutus","siculus","subspecies",NA,"Peus, 1959",NA,"ICZN","accepted",NA,NA,"Ctenophthalmus solutus siculus"
"Lewis, CoL, GBIF",2760,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus solutus solutus Jordan & Rothschild, 1920",NA,"Ctenophthalmus solutus",NA,NA,NA,1920,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus",NA,"solutus","solutus","subspecies",NA,"Jordan & Rothschild, 1920",NA,"ICZN","accepted",NA,NA,"Ctenophthalmus solutus solutus"
"Lewis, CoL, GBIF, NMNH",2763,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla soricis rosickyi Smit, 1960",NA,"Palaeopsylla soricis",NA,NA,NA,1960,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Palaeopsylla",NA,"soricis","rosickyi","subspecies",NA,"Smit, 1960",NA,"ICZN","accepted",NA,NA,"Palaeopsylla soricis rosickyi"
"Lewis, CoL, GBIF",2764,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla soricis scobina Smit & Rosicky, 1965",NA,"Palaeopsylla soricis",NA,NA,NA,1965,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Palaeopsylla",NA,"soricis","scobina","subspecies",NA,"Smit & Rosicky, 1965",NA,"ICZN","accepted",NA,NA,"Palaeopsylla soricis scobina"
"Lewis, CoL, GBIF",2766,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla soricis soricis (Dale, 1878)",NA,"Palaeopsylla soricis",NA,NA,NA,1878,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Palaeopsylla",NA,"soricis","soricis","subspecies",NA,"(Dale, 1878)",NA,"ICZN","accepted",NA,NA,"Palaeopsylla soricis soricis"
"Lewis, CoL, GBIF",2767,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla soricis starki Wagner, 1930",NA,"Palaeopsylla soricis",NA,NA,NA,1930,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Palaeopsylla",NA,"soricis","starki","subspecies",NA,"Wagner, 1930",NA,"ICZN","accepted",NA,NA,"Palaeopsylla soricis starki"
"Lewis, CoL, GBIF",2768,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla soricis vesperis Smit, 1975",NA,"Palaeopsylla soricis",NA,NA,NA,1975,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Palaeopsylla",NA,"soricis","vesperis","subspecies",NA,"Smit, 1975",NA,"ICZN","accepted",NA,NA,"Palaeopsylla soricis vesperis"
