"taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
6194420,"7ddf754f-d193-4cc9-b351-99906754a03b",5051148,NA,NA,"Acanthopsylla rothschildi multidentata Holland, 1971","Holland, 1971","Acanthopsylla rothschildi multidentata","Acanthopsylla","rothschildi","multidentata","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
6194418,"7ddf754f-d193-4cc9-b351-99906754a03b",5051148,NA,NA,"Acanthopsylla rothschildi nereis Jordan & Rothschild, 1922","Jordan & Rothschild, 1922","Acanthopsylla rothschildi nereis","Acanthopsylla","rothschildi","nereis","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
7198720,"7ddf754f-d193-4cc9-b351-99906754a03b",5051148,NA,NA,"Acanthopsylla rothschildi rothschildi","(Rainbow, 1905)","Acanthopsylla rothschildi rothschildi","Acanthopsylla","rothschildi","rothschildi","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
6194419,"7ddf754f-d193-4cc9-b351-99906754a03b",7236600,"5051148",NA,"Acanthopsylla rothschildi victoriana Jordan & Rothschild, 1922","Jordan & Rothschild, 1922","Acanthopsylla rothschildi victoriana","Acanthopsylla","rothschildi","victoriana","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
5051153,"7ddf754f-d193-4cc9-b351-99906754a03b",7236600,NA,NA,"Acanthopsylla saphes Jordan & Rothschild, 1922","Jordan & Rothschild, 1922","Acanthopsylla saphes","Acanthopsylla","saphes",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
7198721,"7ddf754f-d193-4cc9-b351-99906754a03b",5051159,NA,NA,"Acanthopsylla scintilla scintilla","(M.Rothschild, 1936)","Acanthopsylla scintilla scintilla","Acanthopsylla","scintilla","scintilla","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
6194416,"7ddf754f-d193-4cc9-b351-99906754a03b",5051159,NA,NA,"Acanthopsylla scintilla tasmanica Holland, 1971","Holland, 1971","Acanthopsylla scintilla tasmanica","Acanthopsylla","scintilla","tasmanica","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
5051145,"7ddf754f-d193-4cc9-b351-99906754a03b",7236600,NA,NA,"Acanthopsylla woodwardi (Rothschild, 1904)","(Rothschild, 1904)","Acanthopsylla woodwardi","Acanthopsylla","woodwardi",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
1419267,"7ddf754f-d193-4cc9-b351-99906754a03b",1419266,NA,NA,"Acedestia chera Jordan, 1937","Jordan, 1937","Acedestia chera","Acedestia","chera",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Acedestia"
4770062,"0938172b-2086-439c-a1dd-c21cb0109ed5",1366,NA,NA,"Acediopsylla Ewing, 1940","Ewing, 1940","Acediopsylla","Acediopsylla",NA,NA,"genus",NA,"Proc. Biol. Soc. Washington, 53","doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"Acediopsylla"
4770087,"0938172b-2086-439c-a1dd-c21cb0109ed5",1366,NA,NA,"Aceratophyllus Ewing, 1929","Ewing, 1929","Aceratophyllus","Aceratophyllus",NA,NA,"genus",NA,"Manual Extern. Paras.","doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"Aceratophyllus"
1416254,"0938172b-2086-439c-a1dd-c21cb0109ed5",8843,"1416217",NA,"Achaetopsylla Argyropulo, 1948","Argyropulo, 1948","Achaetopsylla","Achaetopsylla",NA,NA,"genus",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae","Chaetopsylla"
1418039,"7ddf754f-d193-4cc9-b351-99906754a03b",1418038,NA,NA,"Aconothobius anthobius Smit, 1975","Smit, 1975","Aconothobius anthobius","Aconothobius","anthobius",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Aconothobius"
1418041,"7ddf754f-d193-4cc9-b351-99906754a03b",1418038,NA,NA,"Aconothobius martensi Smit, 1975","Smit, 1975","Aconothobius martensi","Aconothobius","martensi",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Aconothobius"
1418040,"7ddf754f-d193-4cc9-b351-99906754a03b",1418038,NA,"9174198","Aconothobius orientalis (Lewis, Kulkarni & Bhat, 1972)","(Lewis, Kulkarni & Bhat, 1972)","Aconothobius orientalis","Aconothobius","orientalis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Aconothobius"
1417843,"7ddf754f-d193-4cc9-b351-99906754a03b",1417841,NA,NA,"Acropsylla episema Rothschild, 1911","Rothschild, 1911","Acropsylla episema","Acropsylla","episema",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Acropsylla"
6193997,"7ddf754f-d193-4cc9-b351-99906754a03b",1417843,NA,NA,"Acropsylla episema episema","Rothschild, 1911","Acropsylla episema episema","Acropsylla","episema","episema","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Acropsylla"
1417845,"7ddf754f-d193-4cc9-b351-99906754a03b",1417841,NA,NA,"Acropsylla girshami Traub, 1950","Traub, 1950","Acropsylla girshami","Acropsylla","girshami",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Acropsylla"
