"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Pygiopsyllidae","NA","Pygiopsylla","hoplia","Jordan & Rothschild",1922,"Pygiopsylla congrua Jordan & Rothschild, 1922 (female); Pygiopsylla spinata Holland, 1969","Lewis",2987,"NA","NA","Lewis354","NA","NA","NA","NA","NA","Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla hoplia Jordan & Rothschild, 1922","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","congrua","NA","species","NA","Jordan & Rothschild, 1922","NA","NA","synonym","NA","female","Pygiopsylla congrua"
"Pygiopsyllidae","NA","Pygiopsylla","zethi","(Rothschild)",1904,"Pygiopsylla congrua Jordan & Rothschild, 1922 (male)","Lewis",2988,"NA","NA","Lewis355","NA","NA","NA","NA","NA","Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla zethi (Rothschild, 1904)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","congrua","NA","species","NA","Jordan & Rothschild, 1922","NA","NA","synonym","NA","male","Pygiopsylla congrua"
"Ctenophthalmidae","Rhadinopsyllinae","Rhadinopsylla","semenovi","Argyropulo",1946,"Rhadinopsylla semenovi Argyropulo, 1941","Lewis",2998,"NA","NA","Lewis367","NA","NA","NA","NA","NA","Rhadinopsylla semenovi Argyropulo, 1941","Rhadinopsylla semenovi Argyropulo, 1946","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","semenovi","NA","species","NA","Argyropulo, 1941","NA","NA","synonym","NA","NA","Rhadinopsylla semenovi"
"Ctenophthalmidae","Ctenophthalminae","Spalacopsylla","NA","Kolenati",1856,"Spalacopsylla Kolenati, 1856 (junior synonym)","Lewis",2779,"NA","NA","Lewis380","NA","NA","NA","NA","NA","Spalacopsylla Kolenati, 1856","Ctenophthalmus Kolenati, 1856","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","Kolenati, 1856","NA","NA","junior synonym","NA","junior synonym","Spalacopsylla"
"Ctenophthalmidae","Doratopsyllinae","Spalacopsylla","NA","Ewing",1925,"Spalacopsylla Pinto, 1930 (junior synonym)","Lewis",2780,"NA","NA","Lewis381","NA","NA","NA","NA","NA","Spalacopsylla Pinto, 1930","Adoratopsylla Ewing, 1925","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","Pinto, 1930","NA","NA","junior synonym","NA","junior synonym","Spalacopsylla"
"Ischnopsyllidae","Ischnopsyllinae","Spalacopsylla","NA","Westwood",1833,"Ceratopsylla Wagner, 1988??; Spalacopsylla Oudemans, 1906 (junior synonym)Nychopsyllus Eysell, 1913; Nycteridiphilis K. Dalla Torre, 1914; Hirtopsylla Argyropulo, 1948 (unrecognized subgenus)","Lewis",3154,"NA","NA","Lewis109","NA","NA","NA","NA","NA","Spalacopsylla Oudemans, 1906 Nychopsyllus Eysell, 1913","Ischnopsyllus Westwood, 1833","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","Oudemans, 1906 Nychopsyllus Eysell, 1913","NA","NA","junior synonym","NA","junior synonym","Spalacopsylla"
"Ceratophyllidae","Ceratophyllinae","Thrassis","acamantis","(Rothschild)",1905,"Thrassis howelli (Jordan, 1933); Thrassis acamantis Stark, 1970; Thrassis pristinus Stark, 1957; Thrassis utahensis Wagner, 1936","Lewis",3242,"NA","NA","Lewis399","NA","NA","NA","NA","NA","Thrassis acamantis Stark, 1970","Thrassis acamantis (Rothschild, 1905)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","acamantis","NA","species","NA","Stark, 1970","NA","NA","synonym","NA","NA","Thrassis acamantis"
"Ceratophyllidae","Ceratophyllinae","Trichopsylla","NA","Ioff",1936,"Trichopsylla Kolenati, 1863; Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863); Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)","Lewis",2781,"NA","NA","Lewis404","NA","NA","NA","NA","NA","Trichopsylla Kolenati, 1863","Amalaraeus Ioff, 1936","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","Kolenati, 1863","NA","NA","synonym","NA","NA","Trichopsylla"
"Ceratophyllidae","Ceratophyllinae","Trichopsylla","NA","Ioff",1936,"Trichopsylla Kolenati, 1863; Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863); Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)","Lewis",3164,"NA","NA","Lewis404","NA","NA","NA","NA","NA","Trichopsylla Jordan & Rothschild, 1920","Amalaraeus Ioff, 1936","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","Jordan & Rothschild, 1920","NA","NA","junior homonym","NA","junior homonym of Trichopsylla Kolenati, 1863","Trichopsylla"
"Ceratophyllidae","Ceratophyllinae","Trichopsylla","NA","Ioff",1936,"Trichopsylla Kolenati, 1863; Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863); Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)","Lewis",3289,"NA","NA","Lewis404","NA","NA","NA","NA","NA","Trichopsylla Ewing & Fox, 1943","Amalaraeus Ioff, 1936","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","genus","NA","Ewing & Fox, 1943","NA","NA","junior homonym","NA","junior homonym of Trichopsylla Kolenati, 1863","Trichopsylla"
"Pulicidae","Xenopsyllinae","Xenopsylla","skrjabini","Ioff",1930,"Xenopsylla skrjabini Ioff, 1928 (only later 1930 did Ioff describe)","Lewis",3034,"NA","NA","Lewis417","NA","NA","NA","NA","NA","Xenopsylla skrjabini Ioff, 1928","Xenopsylla skrjabini Ioff, 1930","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","skrjabini","NA","species","NA","Ioff, 1928","NA","NA","synonym","NA","only later 1930 did Ioff describe","Xenopsylla skrjabini"
