"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","fossil","source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","reason"
"Leptopsyllidae","Leptopsyllinae","Pulex","segnis","(Schönherr)","1832","Pulex musculi Dugès, 1832",NA,"Lewis",597,NA,"2926",NA,NA,NA,NA,NA,"Pulex musculi Dugès, 1832","Leptopsylla segnis","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"musculi",NA,"species",NA,"Dugès, 1832",NA,"ICZN","synonym",NA,NA,"Pulex musculi","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Pulex","hexactenus","(Kolenati)","1835","Pulex vespertilionis Bouché, 1835",NA,"Lewis",621,NA,"1839",NA,NA,NA,NA,NA,"Pulex vespertilionis Bouché, 1835","Ischnopsyllus hexactenus","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"vespertilionis",NA,"species",NA,"Bouché, 1835",NA,"ICZN","synonym",NA,NA,"Pulex vespertilionis","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Pulex","hexactenus","(Kolenati)","1832","Pulex vespertilionis Dugès, 1832",NA,"Lewis",622,NA,"1839",NA,NA,NA,NA,NA,"Pulex vespertilionis Dugès, 1832","Ischnopsyllus hexactenus","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"vespertilionis",NA,"species",NA,"Dugès, 1832",NA,"ICZN","synonym",NA,NA,"Pulex vespertilionis","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Sternopsylla","megatarsalia","(Liu, Wu & Wu)","1926","Sternopsylla intermedia oxyura Jordan, 1926",NA,"Lewis",681,NA,"2289",NA,NA,NA,NA,NA,"Sternopsylla intermedia oxyura Jordan, 1926","Mitchella megatarsalia","Sternopsylla intermedia",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"intermedia","oxyura","subspecies",NA,"Jordan, 1926",NA,"ICZN","synonym",NA,NA,"Sternopsylla intermedia oxyura","dupe"
"Ctenophthalmidae","Ctenophthalminae","Typhlopsylla","minor","(Dale)","1880","Typhlopsylla gracilis Taschenberg, 1880",NA,"Lewis",726,NA,"2326",NA,NA,NA,NA,NA,"Typhlopsylla gracilis Taschenberg, 1880","Palaeopsylla minor","Typhlopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"gracilis",NA,"species",NA,"Taschenberg, 1880",NA,"ICZN","synonym",NA,NA,"Typhlopsylla gracilis","dupe"
"Ctenophthalmidae","Ctenophthalminae","Typhlopsylla","minor","(Dale)","1880","Typhlopsylla gracilis Taschenberg, 1880",NA,"Lewis",727,NA,"2326",NA,NA,NA,NA,NA,"Typhlopsylla gracilis Taschenberg, 1880","Palaeopsylla minor","Typhlopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"gracilis",NA,"species",NA,"Taschenberg, 1880",NA,"ICZN","synonym",NA,NA,"Typhlopsylla gracilis","dupe"
"Vermipsyllidae",NA,"Vermipsylla","globiceps","(Taschenberg)","1911","Vermipsylla globiceps Jordan & Rothschild, 1911",NA,"Lewis",746,NA,"1727",NA,NA,NA,NA,NA,"Vermipsylla globiceps Jordan & Rothschild, 1911","Chaetopsylla globiceps","Vermipsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"globiceps",NA,"species",NA,"Jordan & Rothschild, 1911",NA,"ICZN","synonym",NA,NA,"Vermipsylla globiceps","dupe"
"Vermipsyllidae",NA,"Vermipsylla","globiceps","(Taschenberg)","1906","Vermipsylla globiceps Wagner, 1906",NA,"Lewis",747,NA,"1727",NA,NA,NA,NA,NA,"Vermipsylla globiceps Wagner, 1906","Chaetopsylla globiceps","Vermipsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"globiceps",NA,"species",NA,"Wagner, 1906",NA,"ICZN","synonym",NA,NA,"Vermipsylla globiceps","dupe"
NA,"Ctenophthalminae","Ctenophthalmus","bisoctodentatus bisoctodentatus","Kolenati","1857","Ctenophthalmus bisbidentatus Kolenati, 1857 (suppressed by ICZM, 1963)",NA,"Lewis",273,NA,"1105",NA,NA,NA,NA,NA,"Ctenophthalmus bisbidentatus Kolenati, 1857","Ctenophthalmus bisoctodentatus bisoctodentatus","Ctenophthalmus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"bisbidentatus",NA,"species",NA,"Kolenati, 1857",NA,"ICZN","synonym",NA,"suppressed by ICZM, 1963","Ctenophthalmus bisbidentatus","dupe"
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes agyrtes","(Heller)","1951","Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim)",NA,"Lewis",300,NA,"810",NA,NA,NA,NA,NA,"Ctenophthalmus orphilus tatricus Rosicky, 1951","Ctenophthalmus agyrtes agyrtes","Ctenophthalmus orphilus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"orphilus","tatricus","subspecies",NA,"Rosicky, 1951",NA,"ICZN","synonym",NA,"partim","Ctenophthalmus orphilus tatricus","dupe"
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes peusianus","Rosicky","1951","Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim)",NA,"Lewis",301,NA,"821",NA,NA,NA,NA,NA,"Ctenophthalmus orphilus tatricus Rosicky, 1951","Ctenophthalmus agyrtes peusianus","Ctenophthalmus orphilus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"orphilus","tatricus","subspecies",NA,"Rosicky, 1951",NA,"ICZN","synonym",NA,"partim","Ctenophthalmus orphilus tatricus","dupe"
"Ctenophthalmidae","Doratopsyllinae","Sternopsylla","intermedia intermedia","(Jordan)","1926","Sternopsylla intermedia oxyura Jordan, 1926",NA,"Lewis",680,NA,"1960",NA,NA,NA,NA,NA,"Sternopsylla intermedia oxyura Jordan, 1926","Adoratopsylla intermedia intermedia","Sternopsylla intermedia",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"intermedia","oxyura","subspecies",NA,"Jordan, 1926",NA,"ICZN","synonym",NA,NA,"Sternopsylla intermedia oxyura","dupe"
"Ctenophthalmidae","Ctenophthalminae","Typhlopsylla","uncinatus uncinatus","(Wagner)","1903","Typhlopsylla uncinata Wagner, 1903",NA,"Lewis",741,NA,"3317",NA,NA,NA,NA,NA,"Typhlopsylla uncinata Wagner, 1903","Ctenophthalmus uncinatus uncinatus","Typhlopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"uncinata",NA,"species",NA,"Wagner, 1903",NA,"ICZN","synonym",NA,NA,"Typhlopsylla uncinata","dupe"
"Ctenophthalmidae","Ctenophthalminae","Typhlopsylla","uncinatus uncinatus","(Wagner)","1903","Typhlopsylla uncinata Wahlgren, 1903",NA,"Lewis",742,NA,"3317",NA,NA,NA,NA,NA,"Typhlopsylla uncinata Wahlgren, 1903","Ctenophthalmus uncinatus uncinatus","Typhlopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"uncinata",NA,"species",NA,"Wahlgren, 1903",NA,"ICZN","synonym",NA,NA,"Typhlopsylla uncinata","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus","needhami","Hsu","","Ischnopsyllus vasilii Skalon (in Argyropulo, 1948)",NA,"Lewis",391,NA,"2407",NA,NA,NA,NA,NA,"Ischnopsyllus vasilii Skalon","Ischnopsyllus needhami","Ischnopsyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"vasilii",NA,"species",NA,"Skalon",NA,"ICZN","synonym",NA,"in Argyropulo, 1948","Ischnopsyllus vasilii","bad year"
"Pulicidae","Xenopsyllinae","Pulex","pallidus","(Taschenberg)","","Pulex witherbyi Rothschild (in: Witherby, 1902)",NA,"Lewis",626,NA,"2563",NA,NA,NA,NA,NA,"Pulex witherbyi Rothschild","Synosternus pallidus","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"witherbyi",NA,"species",NA,"Rothschild",NA,"ICZN","synonym",NA,"in Witherby, 1902","Pulex witherbyi","bad year"
