"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","suggested","Hastriter_suggested","Hastriter_note","Hastriter_family"
"GBIF, CoL","1417429",NA,NA,"1417396",6547285,NA,NA,NA,"Callopsylla caspia (Ioff & Argyropulo, 1934)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Callopsylla",NA,"caspia",NA,"species",NA,"(Ioff & Argyropulo, 1934)",NA,NA,"accepted",NA,NA,"Callopsylla caspia","Callopsylla caspia caspia","Callopsylla caspia caspia (Ioff & Argyropulo, 1934)",NA,NA
"GBIF, CoL, NMNH, FMNH","1419472",NA,NA,"1419466",6547303,NA,NA,NA,"Ctenocephalides felis (Bouche, 1835)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Ctenocephalides",NA,"felis",NA,"species",NA,"(Bouche, 1835)",NA,NA,"accepted",NA,NA,"Ctenocephalides felis","Ctenocephalides felis felis","Ctenocephalides felis felis (Bouché, 1835)",NA,NA
"GBIF, CoL, NMNH","5051148",NA,NA,"7236600",NA,NA,NA,NA,"Acanthopsylla rothschildi (Rainbow, 1905)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae",NA,"Acanthopsylla",NA,"rothschildi",NA,"species",NA,"(Rainbow, 1905)",NA,NA,"accepted",NA,NA,"Acanthopsylla rothschildi","Acanthopsylla rothschildi rothschildi","Acanthopsylla rothschildi rothschildi (Rainbow, 1905)",NA,NA
"GBIF, CoL","1417571",NA,NA,"1417570",NA,NA,NA,NA,"Sternopsylla distincta (Rothschild, 1903)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Sternopsylla",NA,"distincta",NA,"species",NA,"(Rothschild, 1903)",NA,NA,"accepted",NA,NA,"Sternopsylla distincta","Sternopsylla distincta distincta","Sternopsylla distincta distincta (Rothschild, 1903)",NA,NA
"GBIF, CoL","5051159",NA,NA,"7236600",NA,NA,NA,NA,"Acanthopsylla scintilla (M.Rothschild, 1936)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae",NA,"Acanthopsylla",NA,"scintilla",NA,"species",NA,"(M.Rothschild, 1936)",NA,NA,"accepted",NA,NA,"Acanthopsylla scintilla","Acanthopsylla scintilla scintilla","Acanthopsylla scintilla scintilla (M. Rothschild, 1936)",NA,NA
"GBIF, CoL","1419020",NA,NA,"1419019",NA,NA,NA,NA,"Callistopsyllus terinus (Rothschild, 1905)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Callistopsyllus",NA,"terinus",NA,"species",NA,"(Rothschild, 1905)",NA,NA,"accepted",NA,NA,"Callistopsyllus terinus","Callistopsyllus terinus terinus","Callistopsyllus terinus terinus (Rothschild, 1905)",NA,"Ctenophthalmidae"
"GBIF, CoL, NMNH","1416688",NA,NA,"1416686",NA,NA,NA,NA,"Plusaetis dolens (Jordan & Rothschild, 1914)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Plusaetis",NA,"dolens",NA,"species",NA,"(Jordan & Rothschild, 1914)",NA,NA,"accepted",NA,NA,"Plusaetis dolens","Plusaetis dolens dolens","Plusaetis dolens dolens (Jordan & Rothschild, 1914)",NA,NA
"GBIF, CoL, NMNH","1416699",NA,NA,"1416686",NA,NA,NA,NA,"Plusaetis sibynus (Jordan, 1925)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Plusaetis",NA,"sibynus",NA,"species",NA,"(Jordan, 1925)",NA,NA,"accepted",NA,NA,"Plusaetis sibynus","Plusaetis sibynus sibynus","Plusaetis sibynus sibynus (Jordan, 1925)",NA,NA
"GBIF, CoL","6193943",NA,NA,"1417533",NA,NA,NA,NA,"Thaumapsylla breviceps breviceps",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Thaumapsylla",NA,"breviceps","breviceps","subspecies",NA,"Rothschild, 1907",NA,NA,"accepted",NA,NA,"Thaumapsylla breviceps breviceps","Thaumapsylla breviceps","Thaumapsylla breviceps Rothschild, 1907",NA,NA
"GBIF, CoL, NMNH, FMNH","6194648",NA,NA,"1418820",NA,NA,NA,NA,"Rhadinopsylla sectilis sectilis",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"sectilis","sectilis","subspecies",NA,"Jordan & Rothschild, 1923",NA,NA,"accepted",NA,NA,"Rhadinopsylla sectilis sectilis","Rhadinopsylla sectilis","Rhadinopsylla sectilis Jordan & Rothschild, 1923",NA,"Ctenophthalmidae"
"GBIF, CoL, NMNH, FMNH","7198674",NA,NA,"1416652",NA,NA,NA,NA,"Foxella ignota ignota",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Foxella",NA,"ignota","ignota","subspecies",NA,"(Baker, 1895)",NA,NA,"accepted",NA,NA,"Foxella ignota ignota","Foxella ignota","Foxella ignota (Baker, 1885)","All subspecies of Foxella ignota (Baker, 1885) were sunk by Lewis, 2006.",NA
"GBIF, CoL","6194311",NA,NA,"1417014",NA,NA,NA,NA,"Orchopeas sexdentatus cascadensis (Jordan, 1939)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Orchopeas",NA,"sexdentatus","cascadensis","subspecies",NA,"(Jordan, 1939)",NA,NA,"accepted",NA,NA,"Orchopeas sexdentatus cascadensis","Orchopeas cascadensis","Orchopeas cascadensis Jordan, 1939",NA,NA
"GBIF, CoL","7198696",NA,NA,"1416764",NA,NA,NA,NA,"Macrostylophora cuiae cuiae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Macrostylophora",NA,"cuiae","cuiae","subspecies",NA,"Liu Chiying & Wu",NA,NA,"accepted",NA,NA,"Macrostylophora cuiae cuiae","Macrostylophora cuiae","Macrostylophora cuiae Wu & Yu, 1964",NA,NA
"GBIF, CoL, NMNH, FMNH","7198694",NA,NA,"1417014",NA,NA,NA,NA,"Orchopeas sexdentatus sexdentatus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Orchopeas",NA,"sexdentatus","sexdentatus","subspecies",NA,"(Baker, 1904)",NA,NA,"accepted",NA,NA,"Orchopeas sexdentatus sexdentatus","Orchopeas sexdentatus","Orchopeas sexdentatus (Baker, 1904)",NA,NA
"GBIF, CoL, NMNH, FMNH","6194309",NA,NA,"1417014",NA,NA,NA,NA,"Orchopeas sexdentatus intermedius Hubbard, 1943",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Orchopeas",NA,"sexdentatus","intermedius","subspecies",NA,"Hubbard, 1943",NA,NA,"accepted",NA,NA,"Orchopeas sexdentatus intermedius","Orchopeas intermedius","Orchopeas intermedius Hubbard, 1943",NA,NA
"GBIF, CoL, NMNH, FMNH","6194310",NA,NA,"1417014",NA,NA,NA,NA,"Orchopeas sexdentatus pennsylvanicus (Jordan, 1928)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Orchopeas",NA,"sexdentatus","pennsylvanicus","subspecies",NA,"(Jordan, 1928)",NA,NA,"accepted",NA,NA,"Orchopeas sexdentatus pennsylvanicus","Orchopeas pennsylvanicus","Orchopeas pennsylvanicus (Jordan, 1928)",NA,NA
"GBIF, CoL, NMNH","1418002",NA,NA,"1417981",NA,NA,NA,NA,"Ophthalmopsylla praefecta (Jordan & Rothschild, 1915)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Ophthalmopsylla",NA,"praefecta",NA,"species",NA,"(Jordan & Rothschild, 1915)",NA,NA,"accepted",NA,NA,"Ophthalmopsylla praefecta","Ophthalmopsylla praefecta praefecta","Ophthalmopsylla praefecta praefecta (Jordan & Rothschild, 1915)",NA,NA
"GBIF, CoL, NMNH","1417583",NA,NA,"1417582",NA,NA,NA,NA,"Ptilopsylla leptina Jordan & Rothschild, 1921",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Ptilopsylla",NA,"leptina",NA,"species",NA,"Jordan & Rothschild, 1921",NA,NA,"accepted",NA,NA,"Ptilopsylla leptina","Ptilopsylla leptina leptina","Ptilopsylla leptina leptina Jordan & Rothschild, 1921",NA,NA
"GBIF, CoL, NMNH","1416311",NA,NA,"1416310",NA,NA,NA,NA,"Craneopsylla minerva (Rothschild, 1903)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stephanocircidae",NA,"Craneopsylla",NA,"minerva",NA,"species",NA,"(Rothschild, 1903)",NA,NA,"accepted",NA,NA,"Craneopsylla minerva","Craneopsylla minerva minerva","Craneopsylla minerva minerva (Rothschild, 1903)",NA,NA
"GBIF","7198602",NA,NA,"5050900",NA,NA,NA,NA,"Ctenophthalmus orientalis orientalis",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Ctenophthalmus",NA,"orientalis","orientalis","subspecies",NA,"(Wagner, 1898)",NA,NA,"accepted",NA,NA,"Ctenophthalmus orientalis orientalis","Ctenophthalmus orientalis","Ctenophthalmus orientalis (Wagner, 1898)",NA,"Ctenophthalmidae"
"GBIF","4480997",NA,NA,"1416288",NA,NA,NA,NA,"Coptopsylla lamelifer arax Isajeva-Gurvich, 1950",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Coptopsyllidae",NA,"Coptopsylla",NA,"lamelifer","arax","subspecies",NA,"Isajeva-Gurvich, 1950",NA,NA,"accepted",NA,NA,"Coptopsylla lamelifer arax","Coptopsylla arax","Coptopsylla arax Isayeva-Gurvich, 1950",NA,NA
"GBIF, CoL, NMNH, FMNH","7198670",NA,NA,"1416790",NA,NA,NA,NA,"Dactylopsylla bluei bluei",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Dactylopsylla",NA,"bluei","bluei","subspecies",NA,"(C.Fox, 1909)",NA,NA,"accepted",NA,NA,"Dactylopsylla bluei bluei","Dactylopsylla bluei","Dactylopsylla bluei C. Fox, 1909",NA,NA
"GBIF, CoL","6194307",NA,NA,"1417014",7528801,NA,NA,NA,"Orchopeas sexdentatus agilis (Rothschild, 1905)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Orchopeas",NA,"sexdentatus","agilis","subspecies",NA,"(Rothschild, 1905)",NA,NA,"accepted",NA,NA,"Orchopeas sexdentatus agilis","Orchopeas agilis","Orchopeas agilis (Rothschild, 1905)",NA,NA
"GBIF, CoL, NMNH","1417988",NA,NA,"1417981",6547279,NA,NA,NA,"Ophthalmopsylla volgensis (Wagner & Ioff, 1926)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Ophthalmopsylla",NA,"volgensis",NA,"species",NA,"(Wagner & Ioff, 1926)",NA,NA,"accepted",NA,NA,"Ophthalmopsylla volgensis","Ophthalmopsylla volgensis volgensis","Ophthalmopsylla volgensis volgensis (Wagner & Ioff, 1926)",NA,NA
"GBIF, CoL, NMNH, FMNH","6194308",NA,NA,"1417014",NA,NA,NA,NA,"Orchopeas sexdentatus schisintus (Jordan, 1929)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Orchopeas",NA,"sexdentatus","schisintus","subspecies",NA,"(Jordan, 1929)",NA,NA,"accepted",NA,NA,"Orchopeas sexdentatus schisintus","Orchopeas schisintus","Orchopeas schisintus (Jordan, 1929)",NA,NA
"GBIF, CoL, NMNH","7198661",NA,NA,"1416887",NA,NA,NA,NA,"Myoxopsylla laverani laverani",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Myoxopsylla",NA,"laverani","laverani","subspecies",NA,"(Rothschild, 1911)",NA,NA,"accepted",NA,NA,"Myoxopsylla laverani laverani","Myoxopsylla laverani","Myoxopsylla laverani (Rothschild, 1911)",NA,NA
"GBIF, CoL, NMNH, FMNH","7198693",NA,NA,"1417026",NA,NA,NA,NA,"Orchopeas howardi howardi",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Orchopeas",NA,"howardi","howardi","subspecies",NA,"(Baker, 1895)",NA,NA,"accepted",NA,NA,"Orchopeas howardi howardi","Orchopeas howardi","Orchopeas howardi (Bakrer, 1895)",NA,NA
"GBIF, CoL","1417729",NA,NA,"1417693",NA,NA,NA,NA,"Paradoxopsyllus jinshajiangensis Hsieh Paochi, Yang Xueshi & Li Kueichen, 1978",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Paradoxopsyllus",NA,"jinshajiangensis",NA,"species",NA,"Hsieh Paochi, Yang Xueshi & Li Kueichen, 1978",NA,NA,"accepted",NA,NA,"Paradoxopsyllus jinshajiangensis","Paradoxopsyllus jinshajiangensis jinshajiangensis","Paradoxopsyllus jinshajiangensis jinshajiangensis Hsieh, Yang & Li, 1978",NA,NA
"GBIF, CoL, NMNH","1419509",NA,NA,"1419507",NA,NA,NA,NA,"Pariodontis riggenbachi (Rothschild, 1904)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Pariodontis",NA,"riggenbachi",NA,"species",NA,"(Rothschild, 1904)",NA,NA,"accepted",NA,NA,"Pariodontis riggenbachi","Pariodontis riggenbachi riggenbachi","Pariodontis riggenbachi riggenbachi (Rothschild, 1904)",NA,NA
"GBIF, CoL","1417924",NA,NA,"1417923",NA,NA,NA,NA,"Hopkinsipsylla occulta Traub, 1963",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Hopkinsipsylla",NA,"occulta",NA,"species",NA,"Traub, 1963",NA,NA,"accepted",NA,NA,"Hopkinsipsylla occulta","Hopkinsipsylla occulta occulta","Hopkinsipsylla occulta occulta Traub, 1963",NA,NA
"GBIF, CoL","4480857",NA,NA,"1417140",NA,NA,NA,NA,"Ceratophyllus rossittensis rossittensis",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Ceratophyllus",NA,"rossittensis","rossittensis","subspecies",NA,"Dampf, 1913",NA,NA,"accepted",NA,NA,"Ceratophyllus rossittensis rossittensis","Ceratophyllus rossittensis","Ceratophyllus rossittensis Dampf, 1913",NA,NA
"GBIF, CoL","7198703",NA,NA,"1416999",NA,NA,NA,NA,"Megabothris clantoni clantoni",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Megabothris",NA,"clantoni","clantoni","subspecies",NA,"Hubbard, 1949",NA,NA,"accepted",NA,NA,"Megabothris clantoni clantoni","Megabothris clantoni","Megabothris clantoni Hubbard, 1949",NA,NA
"GBIF, CoL, NMNH","7198723",NA,NA,"1419602",NA,NA,NA,NA,"Bibikovana laciniosa laciniosa",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae",NA,"Bibikovana",NA,"laciniosa","laciniosa","subspecies",NA,"(Rothschild, 1908)",NA,NA,"accepted",NA,NA,"Bibikovana laciniosa laciniosa","Bibikovana laciniosa",NA,NA,NA
"GBIF, CoL","7198638",NA,NA,"1416536",NA,NA,NA,NA,"Ectinorus onychius onychius",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae",NA,"Ectinorus",NA,"onychius","onychius","subspecies",NA,"(Jordan & Rothschild, 1923)",NA,NA,"accepted",NA,NA,"Ectinorus onychius onychius","Ectinorus onychius","Ectinorus onychius (Jordan & Rothschild, 1923)",NA,NA
"GBIF, CoL","7198585",NA,NA,"5050820",NA,NA,NA,NA,"Ctenophthalmus expansus expansus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Ctenophthalmus",NA,"expansus","expansus","subspecies",NA,"Traub, 1950",NA,NA,"accepted",NA,NA,"Ctenophthalmus expansus expansus","Ctenophthalmus expansus","Ctenophthalmus expansus Traub, 1950",NA,"Ctenophthalmidae"
"GBIF, CoL, NMNH","6193885",NA,NA,"1416436",NA,NA,NA,NA,"Polygenis platensis platensis",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae",NA,"Polygenis",NA,"platensis","platensis","subspecies",NA,"(Jordan & Rothschild, 1908)",NA,NA,"accepted",NA,NA,"Polygenis platensis platensis","Polygenis platensis","Polygenis platensis (Jordan & Rothschild, 1908)",NA,NA
"GBIF, CoL","5050821",NA,NA,"5050820",NA,NA,NA,NA,"Ctenophthalmus expansus myodosus Traub & Barrera, 1966",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Ctenophthalmus",NA,"expansus","myodosus","subspecies",NA,"Traub & Barrera, 1966",NA,NA,"accepted",NA,NA,"Ctenophthalmus expansus myodosus","Ctenophthalmus myodosus","Ctenophthalmus myodosus Traub & Barrera, 1956",NA,"Ctenophthalmidae"
"GBIF, CoL, NMNH, FMNH","6194250",NA,NA,"1416842",NA,NA,NA,NA,"Amaradix bitterrootensis vonfintelis (Prince, 1959)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Amaradix",NA,"bitterrootensis","vonfintelis","subspecies",NA,"(Prince, 1959)",NA,NA,"accepted",NA,NA,"Amaradix bitterrootensis vonfintelis","Amaradix vonfintelis","Amaradix vonfintelis (Prince, 1959)",NA,NA
"GBIF, CoL, NMNH, FMNH","7045050",NA,NA,"1416842",NA,NA,NA,NA,"Amaradix bitterrootensis bitterrootensis",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Amaradix",NA,"bitterrootensis","bitterrootensis","subspecies",NA,"(Dunn, 1923)",NA,NA,"accepted",NA,NA,"Amaradix bitterrootensis bitterrootensis","Amaradix bitterrootensis","Amalaraeus bitterrootensis (Dunn, 1923)",NA,NA
"GBIF, CoL","1418066",NA,NA,"1418042",NA,NA,NA,NA,"Amphipsylla phaiomydis Ioff, 1946",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Amphipsylla",NA,"phaiomydis",NA,"species",NA,"Ioff, 1946",NA,NA,"accepted",NA,NA,"Amphipsylla phaiomydis","Amphipsylla phaiomydis phaiomydis","Amphipsylla phaiomydis phaiomydis Ioff, 1946",NA,NA
"GBIF, CoL","1418049",NA,NA,"1418042",NA,NA,NA,NA,"Amphipsylla marikovskii Ioff & Tiflov, 1939",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Amphipsylla",NA,"marikovskii",NA,"species",NA,"Ioff & Tiflov, 1939",NA,NA,"accepted",NA,NA,"Amphipsylla marikovskii","Amphipsylla marikovskii marikovskii","Amphipsylla marikovskii marikovskii Ioff & Tiflov, 1939",NA,NA
"GBIF, CoL","1418103",NA,NA,"1418042",NA,NA,NA,NA,"Amphipsylla quadratoides Liu Chiying, Tsai Liyuen & Wu Wenching, 1975",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Amphipsylla",NA,"quadratoides",NA,"species",NA,"Liu Chiying, Tsai Liyuen & Wu Wenching, 1975",NA,NA,"accepted",NA,NA,"Amphipsylla quadratoides","Amphipsylla quadratoides quadratoides","Amphipsylla quadratoides quadratoides Liu, Tsai & Wu, 1975",NA,NA
"GBIF, CoL","1416342",NA,NA,"1416341",NA,NA,NA,NA,"Nonnapsylla rothschildi Wagner, 1938",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stephanocircidae",NA,"Nonnapsylla",NA,"rothschildi",NA,"species",NA,"Wagner, 1938",NA,NA,"accepted",NA,NA,"Nonnapsylla rothschildi","Nonnapsylla rothschildi rothschildi","Nonnapsylla rothschildi rothschildi Wagner, 1938",NA,NA
"GBIF, CoL, NMNH, FMNH","6194211",NA,NA,"1417160",NA,NA,NA,NA,"Ceratophyllus lunatus tundrensis Holland, 1945",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Ceratophyllus",NA,"lunatus","tundrensis","subspecies",NA,"Holland, 1945",NA,NA,"accepted",NA,NA,"Ceratophyllus lunatus tundrensis","Ceratophyllus tundrensis","Ceratophyllus lunatus tundrensis Holland, 1945 is a synonym of Rosickyiana lunata Jordan & Rothschld, 1920",NA,NA
"GBIF, CoL","1417153",NA,NA,"1417115",NA,NA,NA,NA,"Ceratophyllus styx Rothschild, 1900",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Ceratophyllus",NA,"styx",NA,"species",NA,"Rothschild, 1900",NA,NA,"accepted",NA,NA,"Ceratophyllus styx","Ceratophyllus styx styx","Ceratophyllus styx styx Rothschild, 1900",NA,NA
"GBIF, CoL","1417160",NA,NA,"1417115",NA,NA,NA,NA,"Ceratophyllus lunatus Jordan & Rothschild, 1920",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Ceratophyllus",NA,"lunatus",NA,"species",NA,"Jordan & Rothschild, 1920",NA,NA,"accepted",NA,NA,"Ceratophyllus lunatus","Ceratophyllus lunatus lunatus","Ceratophyllus lunatus lunatus Jordan & Rothschild, 1920 is a synonym of Rosickyiana lunata (Jordan & Rothschild, 1920)",NA,NA
"GBIF, CoL","1418178",NA,NA,"1418177",NA,NA,NA,NA,"Atyphloceras echis Jordan & Rothschild, 1915",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Atyphloceras",NA,"echis",NA,"species",NA,"Jordan & Rothschild, 1915",NA,NA,"accepted",NA,NA,"Atyphloceras echis","Atyphloceras echis echis","Atyphloceras echis echis Jordan & Rothschild, 1915",NA,NA
"GBIF, CoL","1418183",NA,NA,"1418177",NA,NA,NA,NA,"Atyphloceras multidentatus (C.Fox, 1909)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Atyphloceras",NA,"multidentatus",NA,"species",NA,"(C.Fox, 1909)",NA,NA,"accepted",NA,NA,"Atyphloceras multidentatus","Atyphloceras multidentatus multidentatus","Atyphloceras multidentatus multidentatus (C. Fox, 1909)",NA,NA
"GBIF, CoL","1416324",NA,NA,"1416322",NA,NA,NA,NA,"Stephanocircus greeni Traub & Dunnet, 1973",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stephanocircidae",NA,"Stephanocircus",NA,"greeni",NA,"species",NA,"Traub & Dunnet, 1973",NA,NA,"accepted",NA,NA,"Stephanocircus greeni","Stephanocircus greeni greeni","Stephanocircus greeni greeni Traub & Dunnet, 1973",NA,NA
"GBIF, CoL","1417222",NA,NA,"1417115",NA,NA,NA,NA,"Ceratophyllus farreni Rothschild, 1905",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Ceratophyllus",NA,"farreni",NA,"species",NA,"Rothschild, 1905",NA,NA,"accepted",NA,NA,"Ceratophyllus farreni","Ceratophyllus farreni farreni","Ceratophyllus farreni farreni Rothschild, 1905",NA,NA
"GBIF, CoL","1418061",NA,NA,"1418042",NA,NA,NA,NA,"Amphipsylla vinogradovi Ioff, 1928",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Amphipsylla",NA,"vinogradovi",NA,"species",NA,"Ioff, 1928",NA,NA,"accepted",NA,NA,"Amphipsylla vinogradovi","Amphipsylla vinogradovi vinogradovi","Amphipsylla vinogradovi vinogradovi Wu, Liu & Ma, 1979",NA,NA
"GBIF, CoL","1417205",NA,NA,"1417115",NA,NA,NA,NA,"Ceratophyllus enefdeae Ioff, 1950",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Ceratophyllus",NA,"enefdeae",NA,"species",NA,"Ioff, 1950",NA,NA,"accepted",NA,NA,"Ceratophyllus enefdeae","Ceratophyllus enefdeae enefdeae","Ceratophyllus enefdeae enefdeae Ioff, 1950",NA,NA
"GBIF, CoL","1418095",NA,NA,"1418042",NA,NA,NA,NA,"Amphipsylla primaris Jordan & Rothschild, 1915",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Amphipsylla",NA,"primaris",NA,"species",NA,"Jordan & Rothschild, 1915",NA,NA,"accepted",NA,NA,"Amphipsylla primaris","Amphipsylla primaris primaris","Amphipsylla primaris primaris Jordan & Rothschild, 1915",NA,NA
"GBIF, CoL","1418043",NA,NA,"1418042",NA,NA,NA,NA,"Amphipsylla longispina Scalon, 1950",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Amphipsylla",NA,"longispina",NA,"species",NA,"Scalon, 1950",NA,NA,"accepted",NA,NA,"Amphipsylla longispina","Amphipsylla longispina longispina","Amphipsylla longispina longispina Scalon, 1950",NA,NA
"GBIF, CoL","1418053",NA,NA,"1418042",NA,NA,NA,NA,"Amphipsylla tuta Wagner, 1928",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Amphipsylla",NA,"tuta",NA,"species",NA,"Wagner, 1928",NA,NA,"accepted",NA,NA,"Amphipsylla tuta","Amphipsylla tuta tuta","Amphipsylla tuta tuta Wagner, 1928",NA,NA
