"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Lewis",3354,NA,2637,NA,NA,NA,NA,NA,"Ceratophyllus hirundinis oiticus Peus, 1954","Ceratophyllus hirundinis","Ceratophyllus hirundinis",NA,NA,NA,"1826",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Ceratophyllus",NA,"hirundinis","oiticus","subspecies",NA,"Peus, 1954",NA,"ICZN","synonym",NA,NA,"Ceratophyllus hirundinis oiticus"
"Lewis",3367,NA,2637,NA,NA,NA,NA,NA,"Ceratophyllus phaulius Rothschild, 1909 Wagner, 1898","Ceratophyllus hirundinis","Ceratophyllus",NA,NA,NA,"1826",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Ceratophyllus",NA,"phaulius",NA,"species",NA,"Rothschild, 1909 Wagner, 1898",NA,"ICZN","synonym",NA,NA,"Ceratophyllus phaulius"
"Lewis",3387,NA,2637,NA,NA,NA,NA,NA,"Ceratophyllus troglodytes Dampf, 1908","Ceratophyllus hirundinis","Ceratophyllus",NA,NA,NA,"1826",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Ceratophyllus",NA,"troglodytes",NA,"species",NA,"Dampf, 1908",NA,"ICZN","synonym",NA,NA,"Ceratophyllus troglodytes"
"Lewis",3574,NA,2637,NA,NA,NA,NA,NA,"Pulex hirundinis Köhler, 1832","Ceratophyllus hirundinis","Pulex",NA,NA,NA,"1826",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Pulex",NA,"hirundinis",NA,"species",NA,"Köhler, 1832",NA,"ICZN","synonym",NA,"junior homonym","Pulex hirundinis"
"Lewis",3667,NA,2822,NA,NA,NA,NA,NA,"Thrassis pristinus Stark, 1957","Thrassis acamantis","Thrassis",NA,NA,NA,"1905",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Thrassis",NA,"pristinus",NA,"species",NA,"Stark, 1957",NA,"ICZN","synonym",NA,NA,"Thrassis pristinus"
"Lewis",3672,NA,2822,NA,NA,NA,NA,NA,"Thrassis utahensis Wagner, 1936","Thrassis acamantis","Thrassis",NA,NA,NA,"1905",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Thrassis",NA,"utahensis",NA,"species",NA,"Wagner, 1936",NA,"ICZN","synonym",NA,NA,"Thrassis utahensis"
"Lewis",3663,NA,2822,NA,NA,NA,NA,NA,"Thrassis howelli","Thrassis acamantis","Thrassis",NA,NA,NA,"1905",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Thrassis",NA,"howelli",NA,"species",NA,"(Jordan, 1933)",NA,"ICZN","synonym",NA,NA,"Thrassis howelli"
