"id","order","family","genus","species","subspecies","taxonlevel","accid","canonical","source"
26,"Siphonaptera","Leptopsyllidae","Aconothobius","orientalis",NA,"species",0,"Aconothobius orientalis","Lewis, CoL, GBIF"
27,"Siphonaptera","Leptopsyllidae","Acropsylla","episema",NA,"species",0,"Acropsylla episema","Lewis, CoL, GBIF"
311,"Siphonaptera","Leptopsyllidae","Acropsylla","episema","episema","subspecies",0,"Acropsylla episema episema","CoL, NMNH, GBIF"
57,"Siphonaptera","Leptopsyllidae","Acropsylla","episema","girshami","subspecies",0,"Acropsylla episema girshami","GBIF"
2785,"Siphonaptera","Leptopsyllidae","Acropsylla","girshami",NA,"species",27,"Acropsylla girshami","Lewis, CoL, NMNH, GBIF"
28,"Siphonaptera","Leptopsyllidae","Acropsylla","traubi",NA,"species",0,"Acropsylla traubi","Lewis, CoL, NMNH, GBIF"
29,"Siphonaptera","Pulicidae","Actenopsylla","suavis",NA,"species",0,"Actenopsylla suavis","Lewis, CoL, GBIF"
316,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","antiquorum",NA,"species",0,"Adoratopsylla antiquorum","CoL, GBIF"
30,"Siphonaptera","Ctenophthalmidae","Adoratopsylla","antiquorum","antiquorum","subspecies",0,"Adoratopsylla antiquorum antiquorum","Lewis, CoL, NMNH, GBIF"
31,"Siphonaptera","Ctenophthalmidae","Adoratopsylla","antiquorum","discreta","subspecies",0,"Adoratopsylla antiquorum discreta","Lewis, CoL, NMNH, GBIF"
32,"Siphonaptera","Ctenophthalmidae","Adoratopsylla","antiquorum","rara","subspecies",0,"Adoratopsylla antiquorum rara","Lewis, CoL, GBIF"
33,"Siphonaptera","Ctenophthalmidae","Adoratopsylla","antiquorum","recta","subspecies",0,"Adoratopsylla antiquorum recta","Lewis, CoL, NMNH, GBIF"
34,"Siphonaptera","Ctenophthalmidae","Adoratopsylla","antiquorum","ronnai","subspecies",0,"Adoratopsylla antiquorum ronnai","Lewis, CoL, GBIF"
