"family","subfamily","genus","species","author","namePublishedInYear","synonym.s.","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Ceratophyllidae","Ceratophyllinae","Tarsopsylla",NA,"Wagner",1927,"Ctenonotus Kolenati 1863","Lewis",133,"Lewis133",NA,NA,NA,NA,NA,NA,NA,"Tarsopsylla Wagner, 1927",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Wagner, 1927",NA,NA,"accepted",NA,NA,"Tarsopsylla"
"Tungidae",NA,"Tunga",NA,"Jarocki",1838,"Dermatophilus Guérin, 1840; Dermatophylus Lucas, 1839; Psammodes Gistel 1850 (1847?); Rhynchoprion Karsten, 1864; Sarcophaga Westwood, 1840","Lewis",177,"Lewis177",NA,NA,NA,NA,NA,NA,NA,"Tunga Jarocki, 1838",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jarocki, 1838",NA,NA,"accepted",NA,NA,"Tunga"
"Rhopalopsyllidae","Parapsyllinae","Ectinorus",NA,"Jordan",1942,"Dysmicus Jordan, 1942","Lewis",185,"Lewis185",NA,NA,NA,NA,NA,NA,NA,"Ectinorus Jordan, 1942",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1942",NA,NA,"accepted",NA,NA,"Ectinorus"
"Ischnopsyllidae","Ischnopsyllinae","Nycteridopsylla",NA,"Oudemans",1906,"Eptescopsylla I. Fox, 1940; Aneptescopsylla Ioff, 1953 (unrecognized subgenus); Dinycteridopsylla Ioff, 1953 (unrecognized subgenus); Hexanycteropsylla Ioff, 1953 (unrecognized subgenus)","Lewis",190,"Lewis190",NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla Oudemans, 1906",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Oudemans, 1906",NA,NA,"accepted",NA,NA,"Nycteridopsylla"
"Ctenophthalmidae","Neopsyllinae","Genoneopsylla",NA,"Wu, Wu & Liu",1966,"Evansipsylla Traub, 1968","Lewis",196,"Lewis196",NA,NA,NA,NA,NA,NA,NA,"Genoneopsylla Wu, Wu & Liu, 1966",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Wu, Wu & Liu, 1966",NA,NA,"accepted",NA,NA,"Genoneopsylla"
"Ceratophyllidae","Dactylopsyllinae","Dactylopsylla",NA,"Jordan",1929,"Foxelloides Hubbard, 1943","Lewis",197,"Lewis197",NA,NA,NA,NA,NA,NA,NA,"Dactylopsylla Jordan, 1929",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1929",NA,NA,"accepted",NA,NA,"Dactylopsylla"
"Pygiopsyllidae",NA,"Notiopsylla",NA,"Jordan & Rothschild",1914,"Goniopsyllus Baker, 1906 (preoccupied as genus of Crestacea, Jordan & Rothschild, 1914 proposed Notiopsylla as nomen novum for Goniopsyllus)","Lewis",209,"Lewis209",NA,NA,NA,NA,NA,NA,NA,"Notiopsylla Jordan & Rothschild, 1914",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1914",NA,NA,"accepted",NA,NA,"Notiopsylla"
"Ctenophthalmidae","Rhadinopsyllinae","Nearctopsylla",NA,"Rothschild",1915,"Hollandiana Hopkins, 1951 syn of subgenus Beringiopsylla Ioff, 1950","Lewis",212,"Lewis212",NA,NA,NA,NA,NA,NA,NA,"Nearctopsylla Rothschild, 1915",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Rothschild, 1915",NA,NA,"accepted",NA,NA,"Nearctopsylla"
"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla",NA,"Taschenberg",1880,"Hystroceras Ioff & Scalon, 1950 (unrecognized subgenus)","Lewis",216,"Lewis216",NA,NA,NA,NA,NA,NA,NA,"Hystrichopsylla Taschenberg, 1880",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Taschenberg, 1880",NA,NA,"accepted",NA,NA,"Hystrichopsylla"
"Leptopsyllidae","Leptopsyllinae","Cratynius",NA,"Jordan",1933,"Johnsonaepsylla Traub, 1952","Lewis",224,"Lewis224",NA,NA,NA,NA,NA,NA,NA,"Cratynius Jordan, 1933",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1933",NA,NA,"accepted",NA,NA,"Cratynius"
