"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"NMNH",228,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla vexabilis Jordan, 1925",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla",NA,"vexabilis",NA,"species",NA,"Jordan, 1925",NA,NA,NA,NA,NA,"Xenopsylla vexabilis"
"NMNH",229,NA,NA,NA,NA,NA,NA,NA,NA,"Bradiopsylla echidnae (Denny, 1843)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Lycopsyllidae","Bradiopsylla",NA,"echidnae",NA,"species",NA,"Denny, 1843",NA,NA,NA,NA,NA,"Bradiopsylla echidnae"
"NMNH",230,NA,NA,NA,NA,NA,NA,NA,NA,"Choristopsylla ochi (Rothschild, 1904)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Lycopsyllidae","Choristopsylla",NA,"ochi",NA,"species",NA,"Rothschild, 1904",NA,NA,NA,NA,NA,"Choristopsylla ochi"
"NMNH",231,NA,NA,NA,NA,NA,NA,NA,NA,"Lycopsylla nova Rothschild, 1904",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Lycopsyllidae","Lycopsylla",NA,"nova",NA,"species",NA,"Rothschild, 1904",NA,NA,NA,NA,NA,"Lycopsylla nova"
"NMNH",232,NA,NA,NA,NA,NA,NA,NA,NA,"Acanthopsylla pavida (Rothschild, 1916)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla",NA,"pavida",NA,"species",NA,"Rothschild, 1916",NA,NA,NA,NA,NA,"Acanthopsylla pavida"
"NMNH",233,NA,NA,NA,NA,NA,NA,NA,NA,"Acanthopsylla rothschildi",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla",NA,"rothschildi",NA,"species",NA,"",NA,NA,NA,NA,NA,"Acanthopsylla rothschildi"
"NMNH",234,NA,NA,NA,NA,NA,NA,NA,NA,"Bibikovana iridis (Holland, 1971)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Bibikovana",NA,"iridis",NA,"species",NA,"Holland, 1971",NA,NA,NA,NA,NA,"Bibikovana iridis"
"NMNH",235,NA,NA,NA,NA,NA,NA,NA,NA,"Bibikovana rainbowi",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Bibikovana",NA,"rainbowi",NA,"species",NA,"",NA,NA,NA,NA,NA,"Bibikovana rainbowi"
"NMNH",236,NA,NA,NA,NA,NA,NA,NA,NA,"Bibikovana sinuata (Holland, 1971)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Bibikovana",NA,"sinuata",NA,"species",NA,"Holland, 1971",NA,NA,NA,NA,NA,"Bibikovana sinuata"
"NMNH",237,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla hoplia Jordan & Rothschild, 1922",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Pygiopsylla",NA,"hoplia",NA,"species",NA,"Jordan & Rothschild, 1922",NA,NA,NA,NA,NA,"Pygiopsylla hoplia"
"NMNH",238,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla phiola Smit, 1979",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Pygiopsylla",NA,"phiola",NA,"species",NA,"Smit, 1979",NA,NA,NA,NA,NA,"Pygiopsylla phiola"
"NMNH",240,NA,NA,NA,NA,NA,NA,NA,NA,"Metastivalius rectus (Jordan & Rothschild, 1911)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Metastivalius",NA,"rectus",NA,"species",NA,"Jordan & Rothschild, 1911",NA,NA,NA,NA,NA,"Metastivalius rectus"
"NMNH",241,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) gallinae (Schrank, 1803)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","gallinae",NA,"species",NA,"Schrank, 1803",NA,NA,NA,NA,NA,"Ceratophyllus gallinae"
"NMNH",242,NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla kohauti Dampf, 1911",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Palaeopsylla",NA,"kohauti",NA,"species",NA,"Dampf, 1911",NA,NA,NA,NA,NA,"Palaeopsylla kohauti"
"NMNH",243,NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla remota Jordan, 1929",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Palaeopsylla",NA,"remota",NA,"species",NA,"Jordan, 1929",NA,NA,NA,NA,NA,"Palaeopsylla remota"
