"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
1419009,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","antiquorum",NA,"(Rothschild, 1904)","species",0,"Adoratopsylla antiquorum","GBIF"
7198566,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","antiquorum","antiquorum","(Rothschild, 1904)","subspecies",0,"Adoratopsylla antiquorum antiquorum","GBIF"
6194506,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","antiquorum","discreta","(Jordan, 1926)","subspecies",0,"Adoratopsylla antiquorum discreta","GBIF"
6194507,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","antiquorum","rara","Tipton & Machado, 1972","subspecies",0,"Adoratopsylla antiquorum rara","GBIF"
6194505,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","antiquorum","recta","Tipton & Machado, 1972","subspecies",0,"Adoratopsylla antiquorum recta","GBIF"
6194508,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","antiquorum","ronnai","Guimaraes, 1954","subspecies",0,"Adoratopsylla antiquorum ronnai","GBIF"
1419002,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","bisetosa",NA,"Ewing, 1925","species",0,"Adoratopsylla bisetosa","GBIF"
1419013,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","cunhai",NA,"(Pinto, 1926)","species",1419009,"Adoratopsylla cunhai","GBIF"
1419016,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","dilecta",NA,"Jordan, 1938","species",0,"Adoratopsylla dilecta","GBIF"
1419003,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","intermedia",NA,"(Wagner, 1901)","species",0,"Adoratopsylla intermedia","GBIF"
6194511,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","intermedia","copha","(Jordan, 1926)","subspecies",0,"Adoratopsylla intermedia copha","GBIF"
7198565,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","intermedia","intermedia","(Wagner, 1901)","subspecies",0,"Adoratopsylla intermedia intermedia","GBIF"
6194510,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","intermedia","oxyura","(Jordan, 1926)","subspecies",7198565,"Adoratopsylla intermedia oxyura","GBIF"
6194512,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","intermedia","vidua","(Jordan, 1926)","subspecies",0,"Adoratopsylla intermedia vidua","GBIF"
8738648,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","rara",NA,"Tipton & Machado-Allison","species",0,"Adoratopsylla rara","GBIF"
8880270,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","recta",NA,"Tipton & Machado-Allison","species",0,"Adoratopsylla recta","GBIF"
1419001,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","sinuata",NA,"Guimaraes, 1945","species",0,"Adoratopsylla sinuata","GBIF"
1416847,"Siphonaptera","Ceratophyllidae","Aenigmopsylla","grodekovi",NA,"Sychevsky, 1950","species",0,"Aenigmopsylla grodekovi","GBIF"
