"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
NA,14,NA,NA,NA,NA,NA,NA,NA,"Mesopsylla Dampf, 1910-",NA,"Amphipsyllinae",NA,NA,NA,"1910-",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Mesopsylla",NA,NA,NA,"genus",NA,"Dampf, 1910-",NA,"ICZN","accepted",NA,NA,"Mesopsylla"
NA,15,NA,NA,NA,NA,NA,NA,NA,"Minyctenopsyllus Liu, Zhung & Wang, 1979",NA,"Amphipsyllinae",NA,NA,NA,"1979",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Minyctenopsyllus",NA,NA,NA,"genus",NA,"Liu, Zhung & Wang, 1979",NA,"ICZN","accepted",NA,NA,"Minyctenopsyllus"
NA,16,NA,NA,NA,NA,NA,NA,NA,"Ochotonobius Ioff, 1950",NA,"Amphipsyllinae",NA,NA,NA,"1950",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Ochotonobius",NA,NA,NA,"genus",NA,"Ioff, 1950",NA,"ICZN","accepted",NA,NA,"Ochotonobius"
NA,17,NA,NA,NA,NA,NA,NA,NA,"Odontopsyllus Baker, 1905",NA,"Amphipsyllinae",NA,NA,NA,"1905",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Odontopsyllus",NA,NA,NA,"genus",NA,"Baker, 1905",NA,"ICZN","accepted",NA,NA,"Odontopsyllus"
NA,18,NA,NA,NA,NA,NA,NA,NA,"Ophthalmopsylla Wagner & Ioff, 1926",NA,"Amphipsyllinae",NA,NA,NA,"1926",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Ophthalmopsylla",NA,NA,NA,"genus",NA,"Wagner & Ioff, 1926",NA,"ICZN","accepted",NA,NA,"Ophthalmopsylla"
NA,19,NA,NA,NA,NA,NA,NA,NA,"Ornithophaga Mikuliin, 1957",NA,"Amphipsyllinae",NA,NA,NA,"1957",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Ornithophaga",NA,NA,NA,"genus",NA,"Mikuliin, 1957",NA,"ICZN","accepted",NA,NA,"Ornithophaga"
NA,20,NA,NA,NA,NA,NA,NA,NA,"Paradoxopsyllus Miyajima & Koidzumi, 1909",NA,"Amphipsyllinae",NA,NA,NA,"1909",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Paradoxopsyllus",NA,NA,NA,"genus",NA,"Miyajima & Koidzumi, 1909",NA,"ICZN","accepted",NA,NA,"Paradoxopsyllus"
NA,21,NA,NA,NA,NA,NA,NA,NA,"Phaenopsylla Jordan, 1944",NA,"Amphipsyllinae",NA,NA,NA,"1944",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Phaenopsylla",NA,NA,NA,"genus",NA,"Jordan, 1944",NA,"ICZN","accepted",NA,NA,"Phaenopsylla"
NA,22,NA,NA,NA,NA,NA,NA,NA,"Typhlomyopsyllus Li & Huang, 1980",NA,"Amphipsyllinae",NA,NA,NA,"1980",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Typhlomyopsyllus",NA,NA,NA,"genus",NA,"Li & Huang, 1980",NA,"ICZN","accepted",NA,NA,"Typhlomyopsyllus"
NA,23,NA,NA,NA,NA,NA,NA,NA,"Anomiopsyllus Baker, 1904",NA,"Anomiopsyllinae",NA,NA,NA,"1904",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Anomiopsyllinae","Anomiopsyllus",NA,NA,NA,"genus",NA,"Baker, 1904",NA,"ICZN","accepted",NA,NA,"Anomiopsyllus"
