"source","taxonID","species","author","synonym(s)","fossil","reason"
"Lewis",3560,NA,"Smit",NA,NA,NA
"Lewis",3561,NA,"Westwood",NA,NA,NA
"Lewis",3562,NA,"Traub",NA,NA,NA
"Lewis",3563,NA,"Traub & Tipton",NA,NA,NA
"Lewis",3564,NA,"Traub",NA,NA,NA
"Lewis",3565,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3566,NA,"Traub",NA,NA,NA
"Lewis",3567,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3568,NA,"Jordan",NA,NA,NA
"Lewis",3569,NA,"Jordan",NA,NA,NA
"Lewis",3570,NA,"Rothschild",NA,NA,NA
"Lewis",3571,NA,"Wu & Li",NA,NA,NA
"Lewis",3572,NA,"Rothschild",NA,NA,NA
"Lewis",3573,NA,"Rothschild",NA,NA,NA
"Lewis",3574,NA,"DeMeillon & Marcus",NA,NA,NA
"Lewis",3575,NA,"Ewing",NA,NA,NA
"Lewis",3576,NA,"Weyenbergh",NA,NA,NA
"Lewis",3577,NA,"Jordan",NA,NA,NA
"Lewis",3578,NA,"Smit",NA,NA,NA
"Lewis",3579,NA,"Traub",NA,NA,NA
"Lewis",3580,NA,"Jordan",NA,NA,NA
"Lewis",3581,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3582,NA,"Liu, Liu & Zhang",NA,NA,NA
"Lewis",3583,NA,"Jordan",NA,NA,NA
"Lewis",3584,NA,"Dampf",NA,NA,NA
"Lewis",3585,NA,"Holland",NA,NA,NA
"Lewis",3586,NA,"Liu, Zhung & Wang",NA,NA,NA
"Lewis",3587,NA,"Rothschild",NA,NA,NA
"Lewis",3588,NA,"Lewis",NA,NA,NA
"Lewis",3589,NA,"Rothschild",NA,NA,NA
"Lewis",3590,NA,"Kolenati",NA,NA,NA
"Lewis",3591,NA,"Traub, 1969",NA,NA,NA
"Lewis",3592,NA,"Mardon & Durden",NA,NA,NA
"Lewis",3593,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3594,NA,"Wagner",NA,NA,NA
"Lewis",3595,NA,"Rothschild",NA,NA,NA
"Lewis",3596,NA,"Wagner",NA,NA,NA
"Lewis",3597,NA,"Linardi & Guimaraes",NA,NA,NA
"Lewis",3598,NA,"Smit",NA,NA,NA
"Lewis",3599,NA,"Rothschild",NA,NA,NA
"Lewis",3600,NA,"Traub",NA,NA,NA
"Lewis",3601,NA,"Traub",NA,NA,NA
"Lewis",3602,NA,"Wagner",NA,NA,NA
"Lewis",3603,NA,"Jordan",NA,NA,NA
"Lewis",3604,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3605,NA,"Oudemans",NA,NA,NA
"Lewis",3606,NA,"Holland",NA,NA,NA
"Lewis",3607,NA,"Ioff",NA,NA,NA
"Lewis",3608,NA,"Baker",NA,NA,NA
"Lewis",3609,NA,"Wagner & Ioff",NA,NA,NA
"Lewis",3610,NA,"Jordan",NA,NA,NA
"Lewis",3611,NA,"Jordan",NA,NA,NA
"Lewis",3612,NA,"Mikulin",NA,NA,NA
"Lewis",3613,NA,"Rothschild",NA,NA,NA
"Lewis",3614,NA,"Wagner & Ioff",NA,NA,NA
"Lewis",3615,NA,"Holland",NA,NA,NA
"Lewis",3616,NA,"Jordan",NA,NA,NA
"Lewis",3617,NA,"Smit",NA,NA,NA
"Lewis",3618,NA,"Wagner",NA,NA,NA
"Lewis",3619,NA,"Holland",NA,NA,NA
"Lewis",3620,NA,"Wagner",NA,NA,NA
"Lewis",3621,NA,"Wagner",NA,NA,NA
"Lewis",3622,NA,"Miyajima & Koidzumi",NA,NA,NA
"Lewis",3623,NA,"Argyropulo",NA,NA,NA
"Lewis",3624,NA,"Tiflov",NA,NA,NA
"Lewis",3625,NA,"Enderlein",NA,NA,NA
"Lewis",3626,NA,"Wagner",NA,NA,NA
"Lewis",3627,NA,"Holland",NA,NA,NA
"Lewis",3628,NA,"Lewis",NA,NA,NA
"Lewis",3629,NA,"Ewing",NA,NA,NA
"Lewis",3630,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3631,NA,"I. Fox",NA,NA,NA
"Lewis",3632,NA,"Beaucournu & Horak",NA,NA,NA
"Lewis",3633,NA,"Jordan",NA,NA,NA
"Lewis",3634,NA,"Rothschild",NA,NA,NA
"Lewis",3635,NA,"Wagner",NA,NA,NA
"Lewis",3636,NA,"Jordan",NA,NA,NA
"Lewis",3637,NA,"Jordan",NA,NA,NA
"Lewis",3638,NA,"Smit",NA,NA,NA
"Lewis",3639,NA,"Jordan",NA,NA,NA
"Lewis",3640,NA,"Jordan",NA,NA,NA
"Lewis",3641,NA,"Ingram",NA,NA,NA
"Lewis",3642,NA,"Jordan",NA,NA,NA
"Lewis",3643,NA,"Gao, Shih & Ren",NA,"Fossil",NA
"Lewis",3644,NA,"Lewis & Stone",NA,NA,NA
"Lewis",3645,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3646,NA,"Linnaeus",NA,NA,NA
"Lewis",3647,NA,"Smit",NA,NA,NA
"Lewis",3648,NA,"Rothschild",NA,NA,NA
"Lewis",3649,NA,"Holland",NA,NA,NA
"Lewis",3650,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3651,NA,"Oudemans",NA,NA,NA
"Lewis",3652,NA,"Baker",NA,NA,NA
"Lewis",3653,NA,"Smit",NA,NA,NA
"Lewis",3654,NA,"Wagner & Ioff",NA,NA,NA
"Lewis",3655,NA,"Smit",NA,NA,NA
"Lewis",3656,NA,"Guimaráes",NA,NA,NA
"Lewis",3657,NA,"Lewis",NA,NA,NA
"Lewis",3658,NA,"Ponomarenko",NA,"Fossil",NA
"Lewis",3659,NA,"Mendez",NA,NA,NA
"Lewis",3660,NA,"Smit",NA,NA,NA
"Lewis",3661,NA,"Traub",NA,NA,NA
"Lewis",3662,NA,"Traub",NA,NA,NA
"Lewis",3663,NA,"Lewis",NA,NA,NA
"Lewis",3664,NA,"Jordan",NA,NA,NA
"Lewis",3665,NA,"I. Fox",NA,NA,NA
"Lewis",3666,NA,"Baker",NA,NA,NA
"Lewis",3667,NA,"Li, Xie & Gong",NA,NA,NA
"Lewis",3668,NA,"Jordan",NA,NA,NA
"Lewis",3669,NA,"Rothschild",NA,NA,NA
"Lewis",3670,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3671,NA,"Skuse",NA,NA,NA
"Lewis",3672,NA,"Rothschild",NA,NA,NA
"Lewis",3673,NA,"Jordan & Rothschild",NA,NA,"dupe"
"Lewis",3674,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3675,NA,"Traub",NA,NA,NA
"Lewis",3676,NA,"Holland",NA,NA,NA
"Lewis",3677,NA,"Traub",NA,NA,NA
"Lewis",3678,NA,"Wagner & Roubaud",NA,NA,NA
"Lewis",3679,NA,"Jordan",NA,NA,NA
"Lewis",3680,NA,"Jordan",NA,NA,NA
"Lewis",3681,NA,"Wagner",NA,NA,NA
"Lewis",3682,NA,"Jell & Duncan",NA,"Fossil",NA
"Lewis",3683,NA,"Jordan",NA,NA,NA
"Lewis",3684,NA,"Rothschild",NA,NA,NA
"Lewis",3685,NA,"Jordan",NA,NA,NA
"Lewis",3686,NA,"Jordan",NA,NA,NA
"Lewis",3687,NA,"Wagner",NA,NA,NA
"Lewis",3688,NA,"Traub",NA,NA,NA
"Lewis",3689,NA,"Prince, Eads & Barnes",NA,NA,NA
"Lewis",3690,NA,"Smit",NA,NA,NA
"Lewis",3691,NA,"Ewing",NA,NA,NA
"Lewis",3692,NA,"Beaucournu & Gonzalez-Acuna",NA,NA,NA
"Lewis",3693,NA,"Klein",NA,NA,NA
"Lewis",3694,NA,"Linnaeus",NA,NA,NA
"Lewis",3695,NA,"Wagner",NA,NA,NA
"Lewis",3696,NA,"Li & Huang",NA,NA,NA
"Lewis",3697,NA,"Huang, Engel, Cai & Nel",NA,"Fossil",NA
"Lewis",3698,NA,"Rothschild",NA,NA,NA
"Lewis",3699,NA,"Schimkewitsch",NA,NA,NA
"Lewis",3700,NA,"Ioff & Argyropulo",NA,NA,NA
"Lewis",3701,NA,"Traub",NA,NA,NA
"Lewis",3702,NA,"Hastriter",NA,NA,NA
"Lewis",3703,NA,"Mardon & Dunnet",NA,NA,NA
"Lewis",3704,NA,"Jordan",NA,NA,NA
"Lewis",3705,NA,"Glinkiewicz",NA,NA,NA
"Lewis",3706,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3707,NA,"Smit",NA,NA,NA
"Lewis",1,"bella","Smit",NA,NA,NA
"Lewis",2,"bisinuata","Holland",NA,NA,NA
"Lewis",3,"dunneti","Holland",NA,NA,NA
"Lewis",8,"enderleini","(Wagner)",NA,NA,NA
"Lewis",9,"eudromiciae","Holland",NA,NA,NA
"Lewis",10,"franklinensis","M. Rothschild",NA,NA,NA
"Lewis",11,"guba","Smit",NA,NA,NA
"Lewis",12,"hollandi","Lewis",NA,NA,NA
"Lewis",13,"jordani","Mardon",NA,NA,NA
"Lewis",15,"pavida","(Rothschild)",NA,NA,NA
"Lewis",16,"praxilla","M. Rothschild",NA,NA,NA
"Lewis",17,"rectangulata","Holland",NA,NA,NA
"Lewis",18,"richardsoni","Smit",NA,NA,NA
"Lewis",23,"saphes","Jordan & Rothschild",NA,NA,NA
"Lewis",29,"woodwardi","(Rothschild)",NA,NA,NA
"Lewis",32,"chera","Jordan",NA,NA,NA
"Lewis",33,"anthobius","Smit",NA,NA,NA
"Lewis",34,"martensi","Smit",NA,NA,NA
"Lewis",35,"orientalis","(Lewis, Kulkarni & Bhat)",NA,NA,NA
"Lewis",37,"episema","Rothschild",NA,NA,NA
"Lewis",38,"traubi","Lewis",NA,NA,NA
"Lewis",39,"suavis","Jordan & Rothschild",NA,NA,NA
"Lewis",47,"bisetosa","Ewing",NA,NA,NA
"Lewis",48,"dilecta","Jordan",NA,NA,NA
"Lewis",56,"sinuata","Guimaráes",NA,NA,NA
"Lewis",58,"grodekovi","Sychevsky",NA,NA,NA
"Lewis",60,"thamba","(Jordan)",NA,NA,NA
"Lewis",65,"wagneri","(Baker)",NA,NA,NA
"Lewis",67,"afer","Rothschild",NA,NA,NA
"Lewis",68,"azevedoi","(Ribeiro)",NA,NA,NA
"Lewis",69,"curtiductus","(Smit)",NA,NA,NA
"Lewis",70,"fallaciosus","(Smit)",NA,NA,NA
"Lewis",71,"hartorum","Beaucournu, Mutumbo & Laudisoit",NA,NA,NA
"Lewis",72,"nigeriensis","(Jordan)",NA,NA,NA
"Lewis",73,"parilis","(Smit)",NA,NA,NA
"Lewis",76,"rahmi","(Beaucournu)",NA,NA,NA
"Lewis",77,"richardi","(Jordan)",NA,NA,NA
"Lewis",78,"sellatus","(Jordan & Rothschild)",NA,NA,NA
"Lewis",79,"smitianus","(Beaucournu)",NA,NA,NA
"Lewis",80,"timanus","(Jordan)",NA,NA,NA
"Lewis",81,"torvus","(Rothschild)",NA,NA,NA
"Lewis",82,"vancanneyti","(Berteaux)",NA,NA,NA
"Lewis",85,"guzmani","Beaucournu, Moreno & González-Acuña",NA,NA,NA
"Lewis",86,"hirsutior","Traub",NA,NA,NA
"Lewis",89,"pearsoni","Traub",NA,NA,NA
"Lewis",90,"unisetosa","Mahnert",NA,NA,NA
"Lewis",91,"alloides","(Smit)",NA,NA,NA
"Lewis",92,"hetera","Beaucournu & Fain",NA,NA,NA
"Lewis",93,"lobayensis","Beaucournu & Barrière",NA,NA,NA
"Lewis",99,"arvicolae","(Ioff)",NA,NA,NA
"Lewis",105,"dobbsi","(Hubbard)",NA,NA,NA
"Lewis",106,"improvisus","(Ioff)",NA,NA,NA
"Lewis",121,"steineri","(Peus)",NA,NA,NA
"Lewis",124,"bitterrootensis","(Dunn)",NA,NA,NA
"Lewis",126,"euphorbi","(Rothschild)",NA,NA,NA
"Lewis",127,"vonfintelis","(Prince)",NA,NA,NA
"Lewis",133,"ciliatus","Baker",NA,NA,NA
"Lewis",137,"manosus","Li",NA,NA,NA
"Lewis",147,"anceps","Wagner",NA,NA,NA
"Lewis",148,"apiciflata","Liu, Xu & Li",NA,NA,NA
"Lewis",149,"argoi","Ioff",NA,NA,NA
"Lewis",150,"asiatica","Ioff",NA,NA,NA
