"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","dupe"
"Pulicidae","Spilopsyllinae","Acediopsylla ","simplex","(Baker)","1895","Acediopsylla Ewing, 1940",NA,3657,NA,"2819",NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Spilopsyllus simplex","Spilopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ewing, 1940",NA,"ICZN","synonym",NA,NA,"Acediopsylla","dupe"
"Pulicidae","Spilopsyllinae","Cediopsylla","simplex","(Baker)","1895","Cediopsylla Jordan, 1925",NA,3658,NA,"2819",NA,NA,NA,NA,NA,"Cediopsylla Jordan, 1925","Spilopsyllus simplex","Spilopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1925",NA,"ICZN","synonym",NA,NA,"Cediopsylla","dupe"
"Pulicidae","Spilopsyllinae","Acediopsylla","spillmanni","Jordan","1930","Acediopsylla Ewing, 1940",NA,3659,NA,"2820",NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Spilopsyllus spillmanni","Spilopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ewing, 1940",NA,"ICZN","synonym",NA,NA,"Acediopsylla","dupe"
"Pulicidae","Spilopsyllinae","Cediopsylla","spillmanni","Jordan","1930","Cediopsylla Jordan, 1925",NA,3660,NA,"2820",NA,NA,NA,NA,NA,"Cediopsylla Jordan, 1925","Spilopsyllus spillmanni","Spilopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1925",NA,"ICZN","synonym",NA,NA,"Cediopsylla","dupe"
"Pulicidae","Spilopsyllinae","Acediopsylla","tepolita","Barrera","1967","Acediopsylla Ewing, 1940",NA,3661,NA,"2821",NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Spilopsyllus tepolita","Spilopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ewing, 1940",NA,"ICZN","synonym",NA,NA,"Acediopsylla","dupe"
"Pulicidae","Spilopsyllinae","Acediopsylla","inaequalis inaequalis","(Baker)","1895","Acediopsylla Ewing, 1940",NA,3866,NA,"2951",NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Spilopsyllus inaequalis inaequalis","Spilopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ewing, 1940",NA,"ICZN","synonym",NA,NA,"Acediopsylla","dupe"
"Pulicidae","Spilopsyllinae","Cediopsylla","inaequalis inaequalis","(Baker)","1895","Cediopsylla Jordan, 1925",NA,3867,NA,"2951",NA,NA,NA,NA,NA,"Cediopsylla Jordan, 1925","Spilopsyllus inaequalis inaequalis","Spilopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1925",NA,"ICZN","synonym",NA,NA,"Cediopsylla","dupe"
"Pulicidae","Spilopsyllinae","Acediopsylla","inaequalis interrupta","Jordan","1925","Acediopsylla Ewing, 1940",NA,3868,NA,"2952",NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Spilopsyllus inaequalis interrupta","Spilopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ewing, 1940",NA,"ICZN","synonym",NA,NA,"Acediopsylla","dupe"
"Pulicidae","Spilopsyllinae","Cediopsylla","inaequalis interrupta","Jordan","1925","Cediopsylla Jordan, 1925",NA,3869,NA,"2952",NA,NA,NA,NA,NA,"Cediopsylla Jordan, 1925","Spilopsyllus inaequalis interrupta","Spilopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1925",NA,"ICZN","synonym",NA,NA,"Cediopsylla","dupe"
"Pulicidae","Archaeopsyllinae","Aphropsylla",NA,"Jordan","1032",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,"Aphropsylla Jordan, 1032",NA,"Archaeopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1032",NA,"ICZN","accepted",NA,NA,"Aphropsylla","bad year"
"Ctenophthalmidae","Ctenophthalminae","Palaeopsylla","obtuspina","Chen, Wei & Li",NA,NA,NA,942,NA,NA,"85",NA,NA,NA,NA,"Palaeopsylla obtuspina Chen, Wei & Li",NA,"Palaeopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"obtuspina",NA,"species",NA,"Chen, Wei & Li",NA,"ICZN","accepted",NA,NA,"Palaeopsylla obtuspina","bad year"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","hirundinis","(Curtis)","1826","Ceratophyllus pinnatus",NA,3355,NA,"2624","2546",NA,NA,NA,NA,"Ceratophyllus pinnatus","Ceratophyllus hirundinis","Ceratophyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"pinnatus",NA,"species",NA,NA,NA,"ICZN","synonym",NA,NA,"Ceratophyllus pinnatus","no author"
