"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","dupe"
"Ceratophyllidae","Ceratophyllinae","Thrassis","acamantis","(Rothschild)","1905","Thrassis acamantis Stark, 1970",NA,3444,NA,"2676","2554",NA,NA,NA,NA,"Thrassis acamantis Stark, 1970","Thrassis acamantis","Thrassis",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"acamantis",NA,"species",NA,"Stark, 1970",NA,"ICZN","synonym",NA,NA,"Thrassis acamantis","dupe"
"Ctenophthalmidae","Ctenophthalminae","Palaeopsylla","aporema","Smit & Rosicky","1976","Palaeopsylla makaluensis Brelih, 1975 (Female)",NA,3482,NA,"2698","85",NA,NA,NA,NA,"Palaeopsylla makaluensis Brelih, 1975","Palaeopsylla aporema","Palaeopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"makaluensis",NA,"species",NA,"Brelih, 1975",NA,"ICZN","synonym",NA,"female","Palaeopsylla makaluensis","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Ceratophyllus","hexactenus","(Kolenati)","1856","Ceratophyllus hexactena petropolitana Wagner, 1898",NA,3496,NA,"2709",NA,NA,NA,NA,NA,"Ceratophyllus hexactena petropolitana Wagner, 1898","Ischnopsyllus hexactenus","Ceratophyllus hexactena",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"hexactena","petropolitana","subspecies",NA,"Wagner, 1898",NA,"ICZN","synonym",NA,NA,"Ceratophyllus hexactena petropolitana","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus","hexactenus","(Kolenati)","1856","Ischnopsyllus kolenatii Wagner, 1930",NA,3502,NA,"2709","2560",NA,NA,NA,NA,"Ischnopsyllus kolenatii Wagner, 1930","Ischnopsyllus hexactenus","Ischnopsyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"kolenatii",NA,"species",NA,"Wagner, 1930",NA,"ICZN","synonym",NA,NA,"Ischnopsyllus kolenatii","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus","intermedius","(Rothschild)","1898","Ischnopsyllus schmitzi Oudemans, 1909 (female Ischnopsyllus intermedius)",NA,3504,NA,"2712","2560",NA,NA,NA,NA,"Ischnopsyllus schmitzi Oudemans, 1909","Ischnopsyllus intermedius","Ischnopsyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"schmitzi",NA,"species",NA,"Oudemans, 1909",NA,"ICZN","synonym",NA,"female Ischnopsyllus intermedius","Ischnopsyllus schmitzi","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Nycteridopsylla","hexactenus","(Kolenati)","1856","Nycteridopsylla bouchei Oudemans, 1906",NA,3509,NA,"2709","2562",NA,NA,NA,NA,"Nycteridopsylla bouchei Oudemans, 1906","Ischnopsyllus hexactenus","Nycteridopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"bouchei",NA,"species",NA,"Oudemans, 1906",NA,"ICZN","synonym",NA,NA,"Nycteridopsylla bouchei","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Pulex","hexactenus","(Kolenati)","1856","Pulex vespertilionis Bouché, 1835",NA,3510,NA,"2709","141",NA,NA,NA,NA,"Pulex vespertilionis Bouché, 1835","Ischnopsyllus hexactenus","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"vespertilionis",NA,"species",NA,"Bouché, 1835",NA,"ICZN","synonym",NA,NA,"Pulex vespertilionis","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Pulex","hexactenus","(Kolenati)","1856","Pulex vespertilionis Dugès, 1832",NA,3511,NA,"2709","141",NA,NA,NA,NA,"Pulex vespertilionis Dugès, 1832","Ischnopsyllus hexactenus","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"vespertilionis",NA,"species",NA,"Dugès, 1832",NA,"ICZN","synonym",NA,NA,"Pulex vespertilionis","dupe"
"Leptopsyllidae","Leptopsyllinae","Pulex","segnis","(Schönherr)","1811","Pulex musculi Bouché, 1835 (junior homonym of Pulex musculi Dugès, 1832)",NA,3530,NA,"2732","141",NA,NA,NA,NA,"Pulex musculi Bouché, 1835","Leptopsylla segnis","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"musculi",NA,"species",NA,"Bouché, 1835",NA,"ICZN","synonym",NA,"junior homonym of Pulex musculi Dugès, 1832","Pulex musculi","dupe"
"Leptopsyllidae","Leptopsyllinae","Pulex","segnis","(Schönherr)","1811","Pulex musculi Dugès, 1832",NA,3531,NA,"2732","141",NA,NA,NA,NA,"Pulex musculi Dugès, 1832","Leptopsylla segnis","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"musculi",NA,"species",NA,"Dugès, 1832",NA,"ICZN","synonym",NA,NA,"Pulex musculi","dupe"
"Ctenophthalmidae","Neopsyllinae","Ceratophyllus","honora","Jordan","1932","Ceratophyllus hexactena petropolitana Wagner, 1898",NA,3552,NA,"2748",NA,NA,NA,NA,NA,"Ceratophyllus hexactena petropolitana Wagner, 1898","Neopsylla honora","Ceratophyllus hexactena",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"hexactena","petropolitana","subspecies",NA,"Wagner, 1898",NA,"ICZN","synonym",NA,NA,"Ceratophyllus hexactena petropolitana","dupe"
"Ctenophthalmidae","Neopsyllinae","Ischnopsyllus","honora","Jordan","1932","Ischnopsyllus kolenatii Wagner, 1930",NA,3553,NA,"2748","2560",NA,NA,NA,NA,"Ischnopsyllus kolenatii Wagner, 1930","Neopsylla honora","Ischnopsyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"kolenatii",NA,"species",NA,"Wagner, 1930",NA,"ICZN","synonym",NA,NA,"Ischnopsyllus kolenatii","dupe"
"Ctenophthalmidae","Neopsyllinae","Nycteridopsylla","honora","Jordan","1932","Nycteridopsylla bouchei Oudemans, 1906",NA,3558,NA,"2748","2562",NA,NA,NA,NA,"Nycteridopsylla bouchei Oudemans, 1906","Neopsylla honora","Nycteridopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"bouchei",NA,"species",NA,"Oudemans, 1906",NA,"ICZN","synonym",NA,NA,"Nycteridopsylla bouchei","dupe"
"Pygiopsyllidae",NA,"Pygiopsylla","hoplia","Jordan & Rothschild","1922","Pygiopsylla congrua Jordan & Rothschild, 1922 (female)",NA,3590,NA,"2773","198",NA,NA,NA,NA,"Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla hoplia","Pygiopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"congrua",NA,"species",NA,"Jordan & Rothschild, 1922",NA,"ICZN","synonym",NA,"female","Pygiopsylla congrua","dupe"
"Pygiopsyllidae",NA,"Pygiopsylla","zethi","(Rothschild)","1904","Pygiopsylla congrua Jordan & Rothschild, 1922 (male)",NA,3591,NA,"2774","198",NA,NA,NA,NA,"Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla zethi","Pygiopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"congrua",NA,"species",NA,"Jordan & Rothschild, 1922",NA,"ICZN","synonym",NA,"male","Pygiopsylla congrua","dupe"
"Pulicidae","Pulicinae","Pulex","irritans","Linnaeus","1758","Pulex iritans fulvus Ioff, 1929",NA,3612,NA,"2788",NA,NA,NA,NA,NA,"Pulex iritans fulvus Ioff, 1929","Pulex irritans","Pulex iritans",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"iritans","fulvus","subspecies",NA,"Ioff, 1929",NA,"ICZN","synonym",NA,NA,"Pulex iritans fulvus","dupe"
"Pulicidae","Pulicinae","Pulex","irritans","Linnaeus","1758","Pulex iritans fulvus Ioff, 1929",NA,3613,NA,"2788",NA,NA,NA,NA,NA,"Pulex iritans fulvus Ioff, 1929","Pulex irritans","Pulex iritans",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"iritans","fulvus","subspecies",NA,"Ioff, 1929",NA,"ICZN","synonym",NA,NA,"Pulex iritans fulvus","dupe"
"Ctenophthalmidae","Rhadinopsyllinae","Rhadinopsylla","semenovi","Argyropulo","1946","Rhadinopsylla semenovi Argyropulo, 1941",NA,3636,NA,"2802","143",NA,NA,NA,NA,"Rhadinopsylla semenovi Argyropulo, 1941","Rhadinopsylla semenovi","Rhadinopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"semenovi",NA,"species",NA,"Argyropulo, 1941",NA,"ICZN","synonym",NA,NA,"Rhadinopsylla semenovi","dupe"
"Rhopalopsyllidae","Rhopalopsyllinae","Polygenis","pygaerus","(Wagner)","1937","Polygenis dentei Guimarães, 1947",NA,3642,NA,"2808","150",NA,NA,NA,NA,"Polygenis dentei Guimarães, 1947","Polygenis pygaerus","Polygenis",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"dentei",NA,"species",NA,"Guimarães, 1947",NA,"ICZN","synonym",NA,NA,"Polygenis dentei","dupe"
"Pulicidae","Xenopsyllinae","Xenopsylla","skrjabini","Ioff","1930","Xenopsylla skrjabini Ioff, 1928 (only later 1930 did Ioff describe)",NA,3683,NA,"2837","2582",NA,NA,NA,NA,"Xenopsylla skrjabini Ioff, 1928","Xenopsylla skrjabini","Xenopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"skrjabini",NA,"species",NA,"Ioff, 1928",NA,"ICZN","synonym",NA,"only later 1930 did Ioff describe","Xenopsylla skrjabini","dupe"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","vagabundus vagabundus","(Boheman)","1866","Ceratophyllus monedulae Wahlgren, 1907",NA,3736,NA,"2864","2546",NA,NA,NA,NA,"Ceratophyllus monedulae Wahlgren, 1907","Ceratophyllus vagabundus vagabundus","Ceratophyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"monedulae",NA,"species",NA,"Wahlgren, 1907",NA,"ICZN","synonym",NA,NA,"Ceratophyllus monedulae","dupe"
"Ceratophyllidae","Ceratophyllinae","Ischnopsyllus","simplex simplex","(Wagner)","1902","Ischnopsyllus schmitzi Oudemans, 1909",NA,3743,NA,"2868","2560",NA,NA,NA,NA,"Ischnopsyllus schmitzi Oudemans, 1909","Citellophilus simplex simplex","Ischnopsyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"schmitzi",NA,"species",NA,"Oudemans, 1909",NA,"ICZN","synonym",NA,NA,"Ischnopsyllus schmitzi","dupe"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","gallinulae gallinulae","(Dale)","1878","Ceratophyllus monedulae Dale, 1878",NA,3750,NA,"2871","2546",NA,NA,NA,NA,"Ceratophyllus monedulae Dale, 1878","Dasypsyllus gallinulae gallinulae","Ceratophyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"monedulae",NA,"species",NA,"Dale, 1878",NA,"ICZN","synonym",NA,NA,"Ceratophyllus monedulae","dupe"
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes peusianus","Rosicky","1955","Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim)",NA,3786,NA,"2890",NA,NA,NA,NA,NA,"Ctenophthalmus agyrtes slovacicus Rosicky, 1951","Ctenophthalmus agyrtes peusianus","Ctenophthalmus agyrtes",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"agyrtes","slovacicus","subspecies",NA,"Rosicky, 1951",NA,"ICZN","synonym",NA,"partim","Ctenophthalmus agyrtes slovacicus","dupe"
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes agyrtes","(Heller)","1896","Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim))",NA,3787,NA,"2887",NA,NA,NA,NA,NA,"Ctenophthalmus agyrtes slovacicus Rosicky, 1951 )","Ctenophthalmus agyrtes agyrtes","Ctenophthalmus agyrtes",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"agyrtes","slovacicus","subspecies",NA,"Rosicky, 1951",NA,"ICZN","synonym",NA,"partim","Ctenophthalmus agyrtes slovacicus","dupe"
