"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"NMNH",251,NA,NA,NA,NA,NA,NA,NA,NA,"Dinopsyllus (Dinopsyllus)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Dinopsyllus","Dinopsyllus",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Dinopsyllus"
"NMNH",624,NA,NA,NA,NA,NA,NA,NA,NA,"Dinopsyllus (Dinopsyllus)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Dinopsyllus","Dinopsyllus",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Dinopsyllus"
"NMNH",211,NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis (Polygenis)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae","Polygenis","Polygenis",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Polygenis"
"NMNH",1025,NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis (Polygenis)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae","Polygenis","Polygenis",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Polygenis"
"NMNH",287,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex (Pulex)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Pulex","Pulex",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Pulex"
"NMNH",831,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex (Pulex)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Pulex","Pulex",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Pulex"
"NMNH",239,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Pygiopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla"
"NMNH",1046,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Pygiopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla"
